original,En2Afrikaans,Afrikaans2En,En2Albanian,Albanian2En,En2Amharic,Amharic2En,En2Arabic,Arabic2En,En2Armenian,Armenian2En,En2Azerbaijani,Azerbaijani2En,En2Basque,Basque2En,En2Belarusian,Belarusian2En,En2Bengali,Bengali2En,En2Bosnian,Bosnian2En,En2Bulgarian,Bulgarian2En
She is a military officer.,Sy is 'n militêre offisier. ,She is a military officer. ,Ajo është një oficer ushtarak. ,She is a military officer. ,እሷ የጦር መኮንን ናት ፡፡ ,She is an army officer. ,هي ضابطة عسكرية. ,She is a military officer. ,Նա ռազմական սպա է: ,He is a military officer. ,Hərbi zabitdir. ,He is a military officer. ,Ofiziala militarra da. ,The officer is in the military. ,Яна - ваенны афіцэр. ,She is a military officer. ,তিনি একজন সামরিক কর্মকর্তা। ,He is a military officer. ,Ona je vojni oficir. ,She is a military officer. ,Тя е военен офицер. ,She is a military officer. 
She is a nutritionist.,Sy is 'n voedingkundige. ,She is a nutritionist. ,Ajo është një nutricioniste. ,She is a nutritionist. ,እርሷ የምግብ ጥናት ባለሙያ ነች ፡፡ ,She is a nutritionist. ,هي أخصائية تغذية. ,She is a dietitian. ,Նա սննդաբան է: ,He is a nutritionist. ,Diyetoloqdur. ,He is a nutritionist. ,Nutrizionista da. ,She is a nutritionist. ,Яна дыетолаг. ,She is a nutritionist. ,তিনি পুষ্টিবিদ। ,He is a nutritionist. ,Nutricionista je. ,She's a nutritionist. ,Тя е диетолог. ,She is a nutritionist. 
She is an oceanographer.,Sy is 'n oseanograaf. ,She's an oceanographer. ,Ajo është një oqeanograf. ,She is an oceanographer. ,የውቅያኖግራፊ ባለሙያ ናት ፡፡ ,She is an oceanographer. ,هي عالمة محيطات. ,She is an oceanographer. ,Նա օվկիանոսագետ է: ,He is an oceanographer. ,Okeanoqrafdır. ,He is an oceanographer. ,Ozeanografoa da. ,He is an oceanographer. ,Яна - акіянограф. ,She is an oceanographer. ,তিনি একজন সমুদ্রবিদ। ,He is an oceanographer. ,Ona je okeanograf. ,She is an oceanographer. ,Тя е океанограф. ,She is an oceanographer. 
She is an osteopath.,Sy is 'n osteopaat. ,She is an osteopath. ,Ajo është një osteopat. ,She is an osteopath. ,ኦስቲዮፓት ናት ፡፡ ,She is an osteopath. ,هي طبيبة عظام. ,She is an orthopedist. ,Նա օստեոպաթ է: ,He is an osteopath. ,"O, osteopatdır. ",He is an osteopath. ,Osteopata da. ,She is an osteopath. ,Яна - остэапат. ,She is an osteopath. ,তিনি একজন অস্টিওপ্যাথ। ,He is an osteopath. ,Ona je osteopat. ,She is an osteopath. ,Тя е остеопат. ,She is an osteopath. 
She is a painter.,Sy is 'n skilder. ,She is a painter. ,Ajo është piktore. ,She is a painter. ,እሷ ሰዓሊ ናት ፡፡ ,She is an artist. ,هي رسامة. ,She is a painter. ,Նա նկարիչ է: ,He is an artist. ,Rəssamdır. ,He is an artist. ,Margolaria da. ,He is a painter. ,Яна жывапісец. ,She is a painter. ,তিনি একজন চিত্রশিল্পী। ,He is a painter. ,Ona je slikar. ,She is a painter. ,Тя е художник. ,She is an artist. 
She is a paramedic.,Sy is 'n paramedikus. ,She's a paramedic. ,Ajo është një ndihmës medicinale. ,She is a medical assistant. ,እሷ ፓራሜዲክ ነች ፡፡ ,She is a paramedic. ,هي مسعفة. ,She is a medic. ,Նա բուժաշխատող է: ,He is a medical worker. ,Feldşerdir. ,He is a paramedic. ,Medikua da. ,He is a doctor. ,Яна фельчар. ,She is a paramedic. ,তিনি একজন প্যারামেডিক। ,He is a paramedic. ,Ona je bolničar. ,She is a paramedic. ,Тя е фелдшер. ,She is a paramedic. 
She is a pathologist.,Sy is 'n patoloog. ,She's a pathologist. ,Ajo është një patologe. ,She is a pathologist. ,እሷ የበሽታ ባለሙያ ናት ፡፡ ,She is a pathologist. ,هي أخصائية علم الأمراض. ,She is a pathologist. ,Նա պաթոլոգ է: ,He is a pathologist. ,Patoloqdur. ,He is a pathologist. ,Patologoa da. ,He is a pathologist. ,Яна - патолагаанатам. ,She is a pathologist. ,তিনি একজন রোগ বিশেষজ্ঞ। ,He is a pathologist. ,Ona je patolog. ,She is a pathologist. ,Тя е патолог. ,She is a pathologist. 
She is a pharmacologist.,Sy is 'n farmakoloog. ,She is a pharmacologist. ,Ajo është farmakologe. ,She is a pharmacologist. ,እሷ የመድኃኒት ባለሙያ ነች ፡፡ ,She is a pharmacist. ,هي صيدلانية. ,She is a pharmacist. ,Նա դեղագետ է: ,He is a pharmacist. ,Farmakoloqdur. ,He is a pharmacologist. ,Farmakologoa da. ,He is a pharmacologist. ,Яна - фармаколаг. ,She is a pharmacologist. ,তিনি একজন ফার্মাকোলজিস্ট। ,He is a pharmacologist. ,Ona je farmakolog. ,She is a pharmacologist. ,Тя е фармаколог. ,She is a pharmacologist. 
She is a philosopher.,Sy is 'n filosoof. ,She is a philosopher. ,Ajo është filozofe. ,She is a philosopher. ,እሷ ፈላስፋ ናት ፡፡ ,She is a philosopher. ,هي فيلسوفة. ,She is a philosopher. ,Նա փիլիսոփա է: ,He is a philosopher. ,O bir filosofdur. ,He is a philosopher. ,Filosofoa da. ,He is a philosopher. ,Яна філосаф. ,She is a philosopher. ,তিনি একজন দার্শনিক। ,He is a philosopher. ,Ona je filozof. ,She is a philosopher. ,Тя е философ. ,She is a philosopher. 
She is a photographer.,Sy is 'n fotograaf. ,She is a photographer. ,Ajo është një fotograf. ,She is a photographer. ,እሷ ፎቶግራፍ አንሺ ናት ፡፡ ,She is a photographer. ,هي مصورة. ,She is pictured. ,Նա լուսանկարիչ է: ,He is a photographer. ,Fotoqrafdır. ,He is a photographer. ,Argazkilaria da. ,He is a photographer. ,Яна фатограф. ,She is a photographer. ,তিনি একজন ফটোগ্রাফার। ,He is a photographer. ,Ona je fotograf. ,She is a photographer. ,Тя е фотограф. ,She is a photographer. 
She is a physician assistant.,Sy is 'n mediese assistent. ,She is a medical assistant. ,Ajo është ndihmëse e mjekut. ,She is the doctor's assistant. ,ሀኪም ረዳት ነች ፡፡ ,She is a doctor's assistant. ,هي طبيبة مساعدة. ,She is an assistant doctor. ,Նա բժշկի օգնական է: ,He is a doctor's assistant. ,Bir həkim köməkçisidir. ,He is a doctor's assistant. ,Mediku laguntzailea da. ,He is a medical assistant. ,Яна памочнік урача. ,She is a physician's assistant. ,তিনি একজন চিকিত্সক সহকারী। ,He is a medical assistant. ,Ona je pomoćnik ljekara. ,She is an assistant doctor. ,Тя е асистент лекар. ,She is an assistant doctor. 
She is a physicist.,Sy is 'n fisikus. ,She is a physicist. ,Ajo është një fizikane. ,She is a physicist. ,እሷ የፊዚክስ ሊቅ ናት ፡፡ ,She is a physicist. ,هي فيزيائية. ,She is a physical. ,Նա ֆիզիկոս է: ,He is a physicist. ,O bir fizikdir. ,He is a physicist. ,Fisikaria da. ,He is a physicist. ,Яна фізік. ,She is a physicist. ,তিনি একজন পদার্থবিদ। ,He is a physicist. ,Ona je fizičarka. ,She is a physicist. ,Тя е физик. ,She is a physicist. 
She is a pilot.,Sy is 'n vlieënier. ,She's a pilot. ,Ajo është një pilot. ,She is a pilot. ,እሷ ፓይለት ናት ፡፡ ,She is a pilot. ,هي طيار. ,She is a pilot. ,Նա օդաչու է: ,He is a pilot. ,Pilotdur. ,He is a pilot. ,Pilotoa da. ,He is a pilot. ,Яна пілот. ,She is a pilot. ,তিনি একজন পাইলট। ,He is a pilot. ,Ona je pilot. ,She's a pilot. ,Тя е пилот. ,She is a pilot. 
She is a plumber.,Sy is 'n loodgieter. ,She's a plumber. ,Ajo është hidraulike. ,It is hydraulic. ,እሷ ቧንቧ ሰራተኛ ናት ፡፡ ,She is a plumber. ,هي سباكة. ,She is a plumber. ,Նա ջրմուղագործ է: ,He is a plumber. ,"O, santexnikdir. ",He is a plumber. ,Iturgina da. ,He is a plumber. ,Яна сантэхнік. ,She is a plumber. ,তিনি একটি নদীর গভীরতানির্ণয় হয়। ,He is a plumber. ,Ona je vodoinstalater. ,She is a plumber. ,Тя е водопроводчик. ,She is a plumber. 
She is a politician.,Sy is 'n politikus. ,She's a politician. ,Ajo është një politikane. ,She is a politician. ,ፖለቲከኛ ናት ፡፡ ,She is a politician. ,هي سياسية. ,It is political. ,Նա քաղաքական գործիչ է: ,He is a politician. ,"O, siyasətçidir. ",He is a politician. ,Politikaria da. ,He is a politician. ,Яна палітык. ,She is a politician. ,তিনি একজন রাজনীতিবিদ। ,He is a politician. ,Ona je političarka. ,She is a politician. ,Тя е политик. ,She is a politician. 
She is a receptionist.,Sy is 'n ontvangsdame. ,She is a receptionist. ,Ajo është një recepsioniste. ,She is a receptionist. ,እንግዳ ተቀባይ ናት ፡፡ ,She is hospitable. ,هي موظفة استقبال. ,She is a receptionist. ,Նա ընդունարան է: ,He is a receptionist. ,Resepsiyondur. ,It is a reception. ,Harreragilea da. ,He is a receptionist. ,Яна - прыёмная. ,She is a receptionist. ,তিনি একজন অভ্যর্থনাবিদ। ,He is a receptionist. ,Ona je recepcionarka. ,She's a receptionist. ,Тя е рецепционист. ,She is a receptionist. 
She is a registered nurse.,Sy is 'n geregistreerde verpleegster. ,She is a registered nurse. ,Ajo është një infermiere e regjistruar. ,She is a registered nurse. ,የተመዘገበች ነርስ ነች ፡፡ ,She is a registered nurse. ,هي ممرضة مسجلة. ,She is a registered nurse. ,Նա գրանցված բուժքույր է: ,She is a registered nurse. ,Qeydiyyatdan keçmiş tibb bacısıdır. ,She is a registered nurse. ,Erregistratutako erizaina da. ,She is a registered nurse. ,Яна - медсястра на ўліку. ,She is a registered nurse. ,তিনি একজন নিবন্ধিত নার্স। ,She is a registered nurse. ,Ona je registrovana medicinska sestra. ,She is a registered nurse. ,Тя е регистрирана медицинска сестра. ,She is a registered nurse. 
She is a salesman.,Sy is 'n verkoopsman. ,She's a salesman. ,Ajo është një shitëse. ,She is a saleswoman. ,እሷ ሻጭ ነች ፡፡ ,She is a seller. ,هي بائعة. ,She is a saleswoman. ,Նա վաճառական է: ,He is a merchant. ,O satıcıdır. ,He is a salesman. ,Saltzailea da. ,He is a salesman. ,Яна - прадавец. ,She is a seller. ,তিনি একজন বিক্রয়কর্মী। ,He is a salesman. ,Ona je prodavač. ,She's a saleswoman. ,Тя е продавач. ,She is a saleswoman. 
She is a salesperson.,Sy is 'n verkoopspersoon. ,She's a salesperson. ,Ajo është një shitëse. ,She is a saleswoman. ,እሷ ሻጭ ነች ፡፡ ,She is a seller. ,هي مندوبة مبيعات. ,She is a sales representative. ,Նա վաճառող է: ,He is a salesman. ,Bir satıcıdır. ,He is a salesman. ,Saltzailea da. ,He is a salesman. ,Яна - прадавец. ,She is a seller. ,তিনি একজন বিক্রয়কর্মী। ,He is a salesman. ,Ona je prodavač. ,She's a saleswoman. ,Тя е продавач. ,She is a saleswoman. 
She is a scientist.,Sy is 'n wetenskaplike. ,She's a scientist. ,Ajo është një shkencëtare. ,She is a scientist. ,እሷ የሳይንስ ሊቅ ናት ፡፡ ,She is a scientist. ,هي عالمة. ,She is a scientist. ,Նա գիտնական է: ,He is a scientist. ,O bir elm adamıdır. ,He is a scientist. ,Zientzialaria da. ,He is a scientist. ,Яна вучоная. ,She is a scientist. ,তিনি একজন বিজ্ঞানী। ,He is a scientist. ,Ona je naučnik. ,She is a scientist. ,Тя е учен. ,She is a scientist. 
She is a sea captain.,Sy is 'n seekaptein. ,She's a sea captain. ,Ajo është një kapiten detar. ,She is a naval captain. ,እሷ የባህር አዛዥ ናት ፡፡ ,She is a naval commander. ,هي قبطان بحري. ,She is a sea captain. ,Նա ծովային նավապետ է: ,He is a naval captain. ,Dəniz kapitanıdır. ,He is the captain of the sea. ,Itsas kapitaina da. ,He is a sea captain. ,Яна марскі капітан. ,She is a sea captain. ,তিনি একজন সমুদ্র অধিনায়ক। ,He is a sea captain. ,Ona je pomorski kapetan. ,She is a naval captain. ,Тя е морски капитан. ,She is a sea captain. 
She is a secretary.,Sy is 'n sekretaresse. ,She's a secretary. ,Ajo eshte nje sekretare. ,She is a secretary. ,ፀሐፊ ናት ፡፡ ,She is a writer. ,إنها سكرتيرة. ,She is a secretary. ,Նա քարտուղար է: ,He is a secretary. ,O katibdir. ,He is a secretary. ,Idazkaria da. ,He is the secretary. ,Яна сакратарка. ,She is a secretary. ,সে একজন সচিব. ,He is a secretary. ,Ona je tajnica. ,She's a secretary. ,Тя е секретарка. ,She is a secretary. 
She is a singer.,Sy is 'n sanger. ,She is a singer. ,Ajo eshte kengetare. ,She is a singer. ,ዘፋኝ ናት ፡፡ ,She is a singer. ,أنها مغنية. ,She is a singer. ,Նա երգչուհի է. ,She is a singer. ,O müğənnidir. ,She is a singer. ,Abeslaria da. ,She is a singer. ,Яна спявачка. ,She is a singer. ,তিনি একজন শিল্পী. ,He is an artist. ,Ona je pjevačica. ,She is a singer. ,Тя е певица. ,She is a singer. 
She is a solicitor.,Sy is 'n prokureur. ,She's a lawyer. ,Ajo është një avokat. ,She is a lawyer. ,ጠበቃ ናት ፡፡ ,She is a lawyer. ,هي محامية. ,She is a lawyer. ,Նա փաստաբան է: ,He is a lawyer. ,O vəkildir. ,He is a lawyer. ,Prokuradorea da. ,He is an attorney. ,Яна з'яўляецца адвакатам. ,She is a lawyer. ,তিনি একজন আইনজীবী। ,He is a lawyer. ,Ona je odvjetnik. ,She is a lawyer. ,Тя е адвокат. ,She is a lawyer. 
She is a speech pathologist.,Sy is 'n spraakpatoloog. ,She is a speech pathologist. ,Ajo është një patologe e të folurit. ,She is a speech pathologist. ,የንግግር በሽታ ባለሙያ ናት ፡፡ ,She is a speech pathologist. ,هي أخصائية أمراض النطق. ,She is a speech pathologist. ,Նա խոսքի պաթոլոգ է: ,He is a speech pathologist. ,Defektoloqdur. ,He is a defectologist. ,Hizketako patologoa da. ,He is a speech pathologist. ,Яна - дэфектолаг. ,She is a speech pathologist. ,তিনি একজন স্পিচ প্যাথলজিস্ট। ,He is a speech pathologist. ,Ona je logoped. ,She is a speech therapist. ,Тя е логопед. ,She is a speech therapist. 
She is a speech-language pathologist.,Sy is 'n spraak-taalpatoloog. ,She is a speech-language pathologist. ,Ajo është një patologe në gjuhën e të folurit. ,She is a pathologist in spoken language. ,እሷ የንግግር ቋንቋ በሽታ ባለሙያ ናት. ,She is a speech pathologist. ,هي أخصائية أمراض النطق واللغة. ,She is a specialist in speech and language pathology. ,Նա խոսքի լեզվի պաթոլոգ է: ,He is a pathologist of speech language. ,Loqopedoloqdur. ,He is a speech therapist. ,Hizkuntza-hizkuntzaren patologoa da. ,He is a language pathologist. ,Яна - дэфектолаг. ,She is a speech pathologist. ,তিনি একটি স্পিচ-ভাষা রোগ বিশেষজ্ঞ is ,He is a speech-language pathologist ,Ona je patolog govornog jezika. ,She is a pathologist of spoken language. ,Тя е логопедичен патолог. ,She is a speech therapist. 
She is a statistician.,Sy is 'n statistikus. ,She is a statistician. ,Ajo është një statisticien. ,She is a statistician. ,እሷ ስታቲስቲክስ ናት ፡፡ ,She is a statistician. ,هي إحصائية. ,It is a statistic. ,Նա վիճակագիր է: ,He is a statistician. ,"O, bir statistikdir. ",He is a statistician. ,Estatistikaria da. ,He is a statistician. ,Яна статыстык. ,She is a statistician. ,তিনি একজন পরিসংখ্যানবিদ। ,He is a statistician. ,Ona je statističarka. ,She is a statistician. ,Тя е статистик. ,She is a statistician. 
She is a surveyor.,Sy is 'n landmeter. ,She's a surveyor. ,Ajo është një topograf. ,She is a surveyor. ,እሷ የቅየሳ ባለሙያ ናት ፡፡ ,She is a surveyor. ,هي مساح. ,She is a surveyor. ,Նա չափագրող է: ,He is a measurer. ,"O, sörveyordur. ",He is a surveyor. ,Topografoa da. ,He is a surveyor. ,Яна геадэзіст. ,She is a surveyor. ,তিনি একজন সমীক্ষক। ,He is a surveyor. ,Ona je geodet. ,She is a surveyor. ,Тя е геодезист. ,She is a surveyor. 
She is a therapist.,Sy is 'n terapeut. ,She is a therapist. ,Ajo është një terapiste. ,She is a therapist. ,እሷ ቴራፒስት ናት. ,She is a therapist. ,هي معالجة. ,Are treated. ,Նա թերապևտ է: ,He is a therapist! ,Terapevtdir. ,He is a therapist. ,Terapeuta da. ,She is a therapist. ,Яна - тэрапеўт. ,She is a therapist. ,তিনি একজন থেরাপিস্ট। ,He is a therapist. ,Ona je terapeut. ,She is a therapist. ,Тя е терапевт. ,She is a therapist. 
She is an undertaker.,Sy is 'n begrafnisondernemer. ,She's a funeral director. ,Ajo është një sipërmarrëse. ,She is an entrepreneur. ,እርሷ የቀባሪ ናት ፡፡ ,She is a funeral director. ,هي متعهد. ,She is an undertaker. ,Նա ենթակեր է: ,He is a subordinate. ,"O, bir təşəbbüskardır. ",He is an entrepreneur. ,Ehorzlea da. ,He is buried. ,Яна трунар. ,She is a coffin. ,তিনি একজন আন্ডারটেকটার। ,He is an Undertaker. ,Ona je pogrebnik. ,She is an undertaker. ,Тя е гробар. ,She is a gravedigger. 
She is an urban planner.,Sy is 'n stedelike beplanner. ,She is an urban planner. ,Ajo është një planifikuese urbane. ,She is an urban planner. ,የከተማ ፕላን ነች ፡፡ ,It is a city plan. ,هي مخططة حضرية. ,She is an urban planner. ,Նա քաղաքաշինարար է: ,He is an urban planner. ,"O, şəhər planlayıcısıdır. ",He is a city planner. ,Hirigintza antolatzailea da. ,He is an urban planner. ,Яна горадабудаўнік. ,She is a city planner. ,তিনি একজন নগর পরিকল্পনাবিদ। ,He is an urban planner. ,Ona je urbanista. ,She is an urban planner. ,Тя е урбанист. ,She is an urbanist. 
She is a videographer.,Sy is 'n videograaf. ,She's a videographer. ,Ajo është një videograf. ,She is a videographer. ,እሷ የቪዲዮ ቀረፃ ናት ፡፡ ,She is a videographer. ,هي مصورة فيديو. ,She is a videographer. ,Նա տեսանկարահանող է: ,He is a videographer. ,"O, videografdır. ",He is a videographer. ,Bideogilea da. ,He is a videographer. ,Яна - відэааператар. ,She is a videographer. ,তিনি একজন ভিডিওগ্রাফার। ,He is a videographer. ,Ona je videograf. ,She is a videographer. ,Тя е видеооператор. ,She is a videographer. 
She is a virologist.,Sy is 'n viroloog. ,She's a virologist. ,Ajo është virologe. ,She is a virologist. ,እሷ የቫይሮሎጂ ባለሙያ ናት ፡፡ ,She is a virologist. ,هي عالمة فيروسات. ,She is a virologist. ,Նա վիրուսաբան է: ,He is a virologist. ,Viroloqdur. ,He is a virologist. ,Birologoa da. ,He is a virologist. ,Яна вірусолаг. ,She is a virologist. ,তিনি একজন ভাইরোলজিস্ট। ,He is a virologist. ,Ona je virolog. ,She is a virologist. ,Тя е вирусолог. ,She is a virologist. 
She is a visual artist.,Sy is 'n visuele kunstenaar. ,She is a visual artist. ,Ajo është një artiste vizuale. ,She is a visual artist. ,እሷ የእይታ አርቲስት ናት ፡፡ ,She is a visual artist. ,هي فنانة بصرية. ,She is a visual artist. ,Նա տեսողական նկարիչ է: ,He is a visual artist. ,Vizual sənətkardır. ,He is a visual artist. ,Artista bisuala da. ,He is a visual artist. ,Яна - візуальная мастачка. ,She is a visual artist. ,তিনি একজন ভিজ্যুয়াল আর্টিস্ট। ,He is a visual artist. ,Ona je vizuelna umjetnica. ,She is a visual artist. ,Тя е визуален художник. ,She is a visual artist. 
She is a waiter.,Sy is 'n kelner. ,She's a waiter. ,Ajo është kamarier. ,She is a waiter. ,እሷ አስተናጋጅ ናት ፡፡ ,She is a host. ,هي نادلة. ,She is a waitress. ,Նա մատուցող է: ,He is a waiter. ,O ofisiantdır. ,She is a waitress. ,Zerbitzaria da. ,He is a server. ,Яна афіцыянт. ,She is a waiter. ,তিনি একজন ওয়েটার। ,He is a waiter. ,Ona je konobar. ,She's a waiter. ,Тя е сервитьор. ,She is a waiter. 
She is a web designer.,Sy is 'n webontwerper. ,She is a web designer. ,Ajo është një krijuese e faqeve në internet. ,She is a web creator. ,እሷ የድር ንድፍ አውጪ ነች ፡፡ ,She is a web designer. ,هي مصممة الويب. ,She is a web designer. ,Նա վեբ դիզայներ է: ,He is a web designer. ,Veb dizaynçısıdır. ,He is a web designer. ,Web diseinatzailea da. ,She is a web designer. ,Яна вэб-дызайнер. ,She is a web designer. ,তিনি একজন ওয়েব ডিজাইনার। ,He is a web designer. ,Ona je web dizajner. ,She is a web designer. ,Тя е уеб дизайнер. ,She is a web designer. 
She is a web developer.,Sy is 'n webontwikkelaar. ,She is a web developer. ,Ajo është një zhvilluese e faqeve në internet. ,She is a web developer. ,እሷ የድር ገንቢ ነች ፡፡ ,She is a web developer. ,هي مطور ويب. ,She is a web developer. ,Նա վեբ մշակող է: ,He is a web developer. ,Veb inkişaf etdiricisidir. ,He is a web developer. ,Web garatzailea da. ,It is a web developer. ,Яна вэб-распрацоўшчык. ,She is a web developer. ,তিনি একজন ওয়েব বিকাশকারী। ,He is a web developer. ,Ona je web programer. ,She is a web developer. ,Тя е уеб разработчик. ,She is a web developer. 
She is a zoologist.,Sy is 'n dierkundige. ,She is a zoologist. ,Ajo është një zoolog. ,She is a zoologist. ,እርሷ የእንስሳት እርባታ ባለሙያ ናት ፡፡ ,She is a veterinarian. ,هي عالمة حيوان. ,She is an animal scientist. ,Նա կենդանաբան է: ,He is a zoologist. ,Zooloqdur. ,He is a zoologist. ,Zoologoa da. ,He is a zoologist. ,Яна заолаг. ,She is a zoologist. ,তিনি একজন প্রাণিবিদ। ,He is a zoologist. ,Ona je zoolog. ,She is a zoologist. ,Тя е зоолог. ,She is a zoologist. 
