original,En2Finnish,Finnish2En,En2French,French2En,En2Frisian,Frisian2En,En2Galician,Galician2En,En2Georgian,Georgian2En,En2German,German2En,En2Greek,Greek2En,En2Gujarati,Gujarati2En,En2Haitian Creole,Haitian Creole2En,En2Hausa,Hausa2En,En2Hawaiian,Hawaiian2En,En2Hebrew,Hebrew2En
She is a medical laboratory scientist.,Hän on lääketieteellinen laboratoriotutkija. ,He is a medical laboratory researcher. ,Elle est scientifique de laboratoire médical. ,She is a medical laboratory scientist. ,Se is in medysk laboratoarium wittenskipper. ,She is a medical laboratory scientist. ,É científica de laboratorio médico. ,She is a medical laboratory scientist. ,ის არის სამედიცინო ლაბორატორიის მეცნიერი. ,He is a medical laboratory scientist. ,Sie ist medizinische Laborwissenschaftlerin. ,She is a medical laboratory scientist. ,Είναι επιστήμονας ιατρικού εργαστηρίου. ,He is a medical laboratory scientist. ,તે તબીબી પ્રયોગશાળા વૈજ્ .ાનિક છે. ,He is a medical laboratory scientist. ,Li se yon syantis laboratwa medikal. ,He is a medical laboratory scientist. ,Ita masanin kimiyyar dakin gwaje-gwaje ce. ,She is a laboratory scientist. ,He ʻepekema ʻepekema lapaʻau ʻo ia. ,He is a medical scientist. ,היא מדענת מעבדה רפואית. ,She is a medical laboratory scientist. 
She is a meteorologist.,Hän on meteorologi. ,He is a meteorologist. ,C'est une météorologue. ,She's a meteorologist. ,Se is in meteorolooch. ,She's a meteorologist. ,É meteoróloga. ,She is a meteorologist. ,ის მეტეოროლოგია. ,He is a meteorologist. ,Sie ist Meteorologin. ,She is a meteorologist. ,Είναι μετεωρολόγος. ,He is a meteorologist. ,તે હવામાનશાસ્ત્રી છે. ,He is a meteorologist. ,Li se yon meteyorolojis. ,He is a meteorologist. ,Masana ilimin yanayi ne. ,They are meteorologists. ,He meteorologist ʻo ia. ,He is a meteorologist. ,היא מטאורולוגית. ,She is a meteorologist. 
She is a midwife.,Hän on kätilö. ,She is a midwife. ,Elle est sage-femme. ,She is a midwife. ,Se is ferloskundige. ,She is an obstetrician. ,É unha matrona. ,She is a midwife. ,ის ბებიაქალია. ,She is a midwife. ,Sie ist Hebamme. ,She is a midwife. ,Είναι μαία. ,She is a midwife. ,તે એક મિડવાઇફ છે. ,She is a midwife. ,Li se yon fanmsaj. ,She is a midwife. ,Ita ungozoma ce. ,She is a midwife. ,He palekeiki ʻo ia. ,She was a midwife. ,היא מיילדת. ,She's a midwife. 
She is a military officer.,Hän on armeijan upseeri. ,He's an army officer. ,Elle est officier militaire. ,She is a military officer. ,Se is in militêr offisier. ,She is a military officer. ,É oficial militar. ,He is a military officer. ,იგი სამხედრო ოფიცერია. ,He is a military officer. ,Sie ist Militäroffizierin. ,She is a military officer. ,Είναι στρατιωτική αξιωματική. ,She is a military officer. ,તે લશ્કરી અધિકારી છે. ,He is a military officer. ,Li se yon ofisye militè. ,He is a military officer. ,Ita jami’ar soja ce. ,She is a military officer. ,He luna pūʻali koa ʻo ia. ,He was a military officer. ,היא קצינה צבאית. ,She is a military officer. 
She is a nutritionist.,Hän on ravitsemusterapeutti. ,She is a nutritionist. ,Elle est nutritionniste. ,She is a nutritionist. ,Se is in fiedingsdeskundige. ,She is a nutritionist. ,É nutricionista. ,He is a nutritionist. ,ის არის დიეტოლოგი. ,He is a nutritionist. ,Sie ist Ernährungsberaterin. ,She is a nutritionist. ,Είναι διατροφολόγος. ,He is a nutritionist. ,તે ન્યુટ્રિશનિસ્ટ છે. ,He is a nutritionist. ,Li se yon nitrisyonis. ,She is a nutritionist. ,Ita masaniyar abinci ce. ,She is an expert in food. ,He mea hānai meaʻai ʻo ia. ,She was a foodie. ,היא תזונאית. ,She is a nutritionist. 
She is an oceanographer.,Hän on merentutkija. ,He is a marine scientist. ,Elle est océanographe. ,She is an oceanographer. ,Se is oseanograaf. ,She's an oceanographer. ,É oceanógrafa. ,She is an oceanographer. ,ის არის ოკეანოგრაფი. ,He is an oceanographer. ,Sie ist Ozeanographin. ,She is an oceanographer. ,Είναι ωκεανογράφος. ,He is an oceanographer. ,તે એક સમુદ્રવિજ્ .ાની છે. ,He is an oceanographer. ,Li se yon oseyanograf. ,He is an oceanographer. ,Ita masaniyar teku ce. ,She is an expert on the sea. ,He mea kākau moʻolelo kai ʻo ia. ,He is also a marine historian. ,היא אוקיאנוגרפית. ,It is oceanographic. 
She is an osteopath.,Hän on osteopaatti. ,He is an osteopath. ,Elle est ostéopathe. ,She is an osteopath. ,Se is in osteopaat. ,She's an osteopath. ,É osteópata. ,He is an osteopath. ,ის ოსტეოპატია. ,He is an osteopath. ,Sie ist Osteopathin. ,She is an osteopath. ,Είναι οστεοπαθητική. ,It is osteopathic. ,તે એક osસ્ટિઓપેથ છે. ,It's an os steopath. ,Li se yon osteyopat. ,He is an osteopath. ,Ita ce osteopath. ,She osteopath . ,He osteopath ʻo ia. ,He is an osteopath. ,היא אוסטאופת. ,She's an osteopath. 
She is a painter.,Hän on taidemaalari. ,He is a painter. ,Elle est peintre. ,She is a painter. ,Se is in skilder. ,She is a painter. ,É pintora. ,She is a painter. ,ის არის მხატვარი. ,He is an artist. ,Sie ist eine Malerin. ,She is a painter. ,Είναι ζωγράφος. ,He is a painter. ,તે એક ચિત્રકાર છે. ,He is a painter. ,Li se yon pent. ,He is a painter. ,Ita ce mai zane. ,She jersey . ,He mea pena kiʻi. ,He is a painter. ,היא ציירת. ,She painted. 
She is a paramedic.,Hän on ensihoitaja. ,She is a paramedic. ,Elle est paramédicale. ,She is a paramedic. ,Se is in paramedika. ,She's a paramedic. ,É unha paramédica. ,She is a paramedic. ,ის არის ექთანი. ,She is a nurse. ,Sie ist Sanitäterin. ,She is a medic. ,Είναι παραϊατρική. ,It is paramedical. ,તે પેરામેડિક છે. ,It is paramedic. ,Li se yon paramedik. ,He is a paramedic. ,Ita ma'aikaciyar lafiya ce. ,She is a health worker. ,He paramedic ʻo ia. ,He is a paramedic. ,היא פרמדיקית. ,She's a paramedic. 
She is a pathologist.,Hän on patologi. ,He is a pathologist. ,Elle est pathologiste. ,She's a pathologist. ,Se is in patolooch. ,She's a pathologist. ,É patóloga. ,She is a pathologist. ,ის პათოლოგია. ,It is a pathology. ,Sie ist Pathologin. ,She is a pathologist. ,Είναι παθολόγος. ,He is a physician. ,તે પેથોલોજીસ્ટ છે. ,He is a pathologist. ,Li se yon patolojis. ,He is a pathologist. ,Ita likita ce. ,She is a doctor. ,He pathologist ia. ,He is a pathologist. ,היא פתולוגית. ,It is pathological. 
She is a pharmacologist.,Hän on farmakologi. ,He is a pharmacologist. ,Elle est pharmacologue. ,She is a pharmacologist. ,Se is farmakolooch. ,She is a pharmacologist. ,É farmacóloga. ,She is a pharmacologist. ,ის არის ფარმაკოლოგი. ,He is a pharmacologist. ,Sie ist Pharmakologin. ,She is a pharmacologist. ,Είναι φαρμακολόγος. ,He is a pharmacist. ,તે ફાર્માકોલોજિસ્ટ છે. ,He is a pharmacologist. ,Li se yon famasi. ,It is a pharmacy. ,Ita masaniyar magunguna ce. ,She is an expert in medicine. ,He kauka lāʻau lapaʻau ʻo ia. ,He was a medical doctor. ,היא פרמקולוגית. ,She is a pharmacologist. 
She is a philosopher.,Hän on filosofi. ,He is a philosopher. ,C'est une philosophe. ,She is a philosopher. ,Se is in filosoof. ,She's a philosopher. ,É unha filósofa. ,She is a philosopher. ,ის ფილოსოფოსია. ,He is a philosopher. ,Sie ist Philosophin. ,She is a philosopher. ,Είναι φιλόσοφος. ,He is a philosopher. ,તે ફિલોસોફર છે. ,He is a philosopher. ,Li se yon filozòf. ,He is a philosopher. ,Ita falsafa ce. ,She is philosophical . ,He akeakamai ia. ,He is a philosopher. ,היא פילוסופית. ,She is philosophical. 
She is a photographer.,Hän on valokuvaaja. ,He is a photographer. ,Elle est photographe. ,She is a photographer. ,Se is in fotograaf. ,She is a photographer. ,É fotógrafa. ,She is a photographer. ,ის არის ფოტოგრაფი. ,He is a photographer. ,Sie ist Fotografin. ,She is a photographer. ,Είναι φωτογράφος. ,He is a photographer. ,તે એક ફોટોગ્રાફર છે. ,She is a photographer. ,Li se yon fotograf. ,He is a photographer. ,Ita ce mai daukar hoto. ,She is a photographer. ,He mea paʻi kiʻi ʻo ia. ,He is a photographer. ,היא צלמת. ,She's a photographer. 
She is a physician assistant.,Hän on lääkäriavustaja. ,She is a medical assistant. ,Elle est assistante médicale. ,She is a medical assistant. ,Se is dokterassistint. ,She's a doctor's assistant. ,É axudante de médico. ,He is an assistant doctor. ,ის არის ექიმის ასისტენტი. ,He is a physician assistant. ,Sie ist Arzthelferin. ,She is a doctor's assistant. ,Είναι βοηθός γιατρού. ,He is a doctor's assistant. ,તે એક ચિકિત્સક સહાયક છે. ,She is a physician assistant. ,Li se yon asistan doktè. ,He is an assistant doctor. ,Ta kasance mataimakiyar likita. ,She was an assistant doctor. ,He kauka kōkua ʻo ia. ,He is an assistant doctor. ,היא עוזרת רופאים. ,She helps doctors. 
She is a physicist.,Hän on fyysikko. ,He is a physicist. ,Elle est physicienne. ,She is a physicist. ,Se is in natuerkundige. ,She's a physicist. ,É física. ,It’s physical. ,ის ფიზიკოსია. ,He is a physicist. ,Sie ist Physikerin. ,She is a physicist. ,Είναι φυσική. ,It is natural. ,તે એક ભૌતિકશાસ્ત્રી છે. ,He is a physicist. ,Li se yon fizisyen. ,He is a physicist. ,Ita masaniyar ilimin lissafi ce. ,She is a mathematician. ,He physicist ʻo ia. ,He was a physicist. ,היא פיזיקאית. ,She's a physicist. 
She is a pilot.,Hän on lentäjä. ,He is a pilot. ,Elle est pilote. ,She's a pilot. ,Se is piloat. ,She's a pilot. ,Ela é piloto. ,She is a pilot. ,ის მფრინავია. ,He's a pilot. ,Sie ist Pilotin. ,She is a pilot. ,Είναι πιλότος. ,He is a pilot. ,તે પાયલોટ છે. ,He is a pilot. ,Li se yon pilòt. ,He is a pilot. ,Matukin jirgi ne. ,He is a pilot. ,He pailaka ʻo ia. ,He is a pilot. ,היא טייסת. ,She's a squadron. 
She is a plumber.,Hän on putkimies. ,He's a plumber. ,Elle est plombière. ,She is a plumber. ,Se is in loodgieter. ,She's a plumber. ,É fontaneira. ,She is a plumber. ,ის სანტექნიკოსია. ,He is a plumber. ,Sie ist Klempnerin. ,She is a plumber. ,Είναι υδραυλικός. ,He is a plumber. ,તે પ્લમ્બર છે. ,She is a plumber. ,Li se yon plonbye. ,He is a plumber. ,Ita ma'aikaciya ce. ,She is a worker. ,He paipala ʻo ia. ,It is a bible. ,היא אינסטלטור. ,She's a plumber. 
She is a politician.,Hän on poliitikko. ,He is a politician. ,C'est une politicienne. ,She's a politician. ,Se is in politikus. ,She's a politician. ,É política. ,It's politics. ,ის არის პოლიტიკოსი. ,He is a politician. ,Sie ist Politikerin. ,She is a politician. ,Είναι πολιτική. ,It is political. ,તે રાજકારણી છે. ,She is a politician. ,Li se yon politisyen. ,He is a politician. ,Ita yar siyasa ce. ,She is a politician. ,He mea kālaiʻāina ʻo ia. ,He is a politician. ,היא פוליטיקאית. ,She's a politician. 
She is a receptionist.,Hän on vastaanottovirkailija. ,He is a receptionist. ,Elle est réceptionniste. ,She's a receptionist. ,Se is resepsjoniste. ,She's a receptionist. ,É recepcionista. ,He is a receptionist. ,ის არის მიმღები პირი. ,He is a recipient. ,Sie ist Empfangsdame. ,She is a receptionist. ,Είναι ρεσεψιονίστ. ,He is a receptionist. ,તે રિસેપ્શનિસ્ટ છે. ,She is a receptionist. ,Li se yon resepsyonis. ,He is a receptionist. ,Ita ce mai karbar baki. ,She is the host. ,He mea hoʻokipa ia. ,It is entertaining. ,היא פקידת קבלה. ,She is a receptionist. 
She is a registered nurse.,Hän on rekisteröity sairaanhoitaja. ,She is a registered nurse. ,Elle est infirmière autorisée. ,She is a registered nurse. ,Se is in registrearre ferpleechkundige. ,She is a registered nurse. ,É enfermeira rexistrada. ,She is a registered nurse. ,იგი რეგისტრირებული მედდაა. ,She is a registered nurse. ,Sie ist Krankenschwester. ,She is a nurse. ,Είναι εγγεγραμμένη νοσοκόμα. ,She is a registered nurse. ,તે રજિસ્ટર્ડ નર્સ છે. ,She is a registered nurse. ,Li se yon enfimyè ki anrejistre. ,She is a registered nurse. ,Ita ma'aikaciyar jinya ce. ,She is a nurse. ,He kahu kahu maʻi ʻo ia. ,She was a nurse. ,היא אחות מוסמכת. ,She is a registered nurse. 
She is a salesman.,Hän on myyjä. ,He is a salesman. ,Elle est vendeuse. ,She's a saleswoman. ,Se is ferkeaper. ,She's a saleswoman. ,É vendedora. ,She is a saleswoman. ,ის გამყიდველია. ,He is a salesman. ,Sie ist Verkäuferin. ,She is a saleswoman. ,Είναι πωλητής. ,He is a seller. ,તે સેલ્સમેન છે. ,He is a salesman. ,Li se yon vandè. ,He is a salesman. ,Ita ce mai sayarwa. ,She is a salesperson. ,He kanaka kūʻai aku ʻo ia. ,He was a salesman. ,היא מוכרת. ,She sells. 
She is a salesperson.,Hän on myyjä. ,He is a salesman. ,Elle est vendeuse. ,She's a saleswoman. ,Se is in ferkeaper. ,She's a saleswoman. ,É vendedora. ,She is a saleswoman. ,ის გამყიდველია. ,He is a salesman. ,Sie ist Verkäuferin. ,She is a saleswoman. ,Είναι πωλητής. ,He is a seller. ,તે સેલ્સપર્સન છે. ,She is a salesperson. ,Li se yon vandè. ,He is a salesman. ,Ita ce mai sayarwa. ,She is a salesperson. ,He kanaka kūʻai aku ʻo ia. ,He was a salesman. ,היא איש מכירות. ,She's a salesman. 
She is a scientist.,Hän on tiedemies. ,He is a scientist. ,C'est une scientifique. ,She's a scientist. ,Se is in wittenskipper. ,She is a scientist. ,É científica. ,It is scientific. ,ის მეცნიერია. ,He is a scientist. ,Sie ist Wissenschaftlerin. ,She is a scientist. ,Είναι επιστήμονας. ,He is a scientist. ,તે વૈજ્ .ાનિક છે. ,He is a scientist. ,Li se yon syantis. ,He is a scientist. ,Ita masanin kimiyya ce. ,She is a scientist. ,He ʻepekema ʻo ia. ,He is a scientist. ,היא מדענית. ,She's a scientist. 
She is a sea captain.,Hän on merikapteeni. ,He is the sea captain. ,Elle est capitaine de la marine. ,She's a sea captain. ,Se is seekaptein. ,She's sea captain. ,É unha capitá de mar. ,She is a sea captain. ,ის არის ზღვის კაპიტანი. ,He is the captain of the sea. ,Sie ist eine Kapitänin. ,She is a captain. ,Είναι καπετάνιος της θάλασσας. ,He is the captain of the sea. ,તે સમુદ્ર કેપ્ટન છે. ,He is the sea captain. ,Li se yon kòmandan lanmè. ,He is a sea captain. ,Ita ce kyaftin din teku. ,She is the captain of the sea. ,He kāpena kai ʻo ia. ,He was a sea captain. ,היא קפטן ים. ,She's a sea captain. 
She is a secretary.,Hän on sihteeri. ,He is a secretary. ,Elle est secrétaire. ,She is a secretary. ,Se is in sekretaris. ,She's a secretary. ,É secretaria. ,She is a secretary. ,Იგი არის მდივანი. ,ᲘYou are the secretary. ,Sie ist eine Sekretärin. ,She is a secretary. ,Είναι γραμματέας. ,He is a secretary. ,તે સેક્રેટરી છે. ,She is the secretary. ,Li se yon sekretè. ,He is a secretary. ,Ita ce sakatare. ,She is the secretary. ,He kākau ʻōlelo ʻo ia. ,He is a scribe. ,היא מזכירה. ,She reminds. 
She is a singer.,Hän on laulaja. ,He is a singer. ,Elle est chanteuse. ,She is a singer. ,Sy is in sjongeres. ,She's a singer. ,É cantante. ,She is a singer. ,Ის მომღერალია. ,Ი is a singer. ,Sie ist eine Sängerin. ,She is a singer. ,Είναι τραγουδιστρια. ,She is a singer. ,તે એક ગાયિકા છે. ,She is a singer. ,Li se yon chantè. ,She is a singer. ,Mawakiya ce. ,She is a singer. ,He mele ʻo ia. ,It is a song. ,היא זמרת. ,she is a singer. 
She is a solicitor.,Hän on asianajaja. ,He is a lawyer. ,Elle est avocate. ,She is a lawyer. ,Se is in advokaat. ,She's a lawyer. ,É procuradora. ,She is a solicitor. ,ის არის ადვოკატი. ,He is a lawyer. ,Sie ist Anwältin. ,She is a lawyer. ,Είναι δικηγόρος. ,He is a lawyer. ,તે એક વકીલ છે. ,He is a lawyer. ,Li se yon avoka. ,He is a lawyer. ,Ita lauya ce. ,She is a lawyer. ,He loio ʻo ia. ,He is a lawyer. ,היא עורכת דין. ,She's a lawyer. 
She is a speech pathologist.,Hän on puhepatologi. ,He is a speech pathologist. ,Elle est orthophoniste. ,She is a speech therapist. ,Se is in spraakpatolooch. ,She's a speech pathologist. ,É patóloga do fala. ,She is a speech pathologist. ,ის არის მეტყველების პათოლოგი. ,He is a speech pathologist. ,Sie ist Sprachpathologin. ,She is a speech pathologist. ,Είναι παθολόγος ομιλίας. ,He is a speech therapist. ,તે ભાષણ રોગવિજ્ .ાની છે. ,He is a speech pathologist. ,Li se yon patolojis lapawòl. ,He is a speech pathologist. ,Ita masaniyar ilimin magana ne. ,She is an expert in speech science. ,He pathologist haʻiʻōlelo ʻo ia. ,He is a speech pathologist. ,היא פתולוגית דיבור. ,Is a pathological speech. 
She is a speech-language pathologist.,Hän on puhekielipatologi. ,He is a colloquial pathologist. ,Elle est orthophoniste. ,She is a speech therapist. ,Se is in spraak-taal patolooch. ,She is a speech-language pathologist. ,É patóloga da fala. ,She is a speech pathologist. ,ის არის მეტყველების პათოლოგი. ,He is a speech pathologist. ,Sie ist Sprachpathologin. ,She is a speech pathologist. ,Είναι παθολόγος ομιλίας-γλώσσας. ,He is a speech-language physician. ,તે ભાષણ ભાષાના પેથોલોજીસ્ટ છે. ,He is a pathologist of speech language. ,Li se yon patolojis lapawòl-lang. ,He is a speech-language pathologist. ,Ita masaniya ce ta ilimin harshe. ,She is a linguist. ,He pathologist ʻōlelo haʻiʻōlelo ʻo ia. ,He is a speech pathologist. ,היא פתולוגית בשפת הדיבור. ,It is pathological in spoken language. 
She is a statistician.,Hän on tilastotieteilijä. ,He is a statistician. ,Elle est statisticienne. ,She is a statistician. ,Se is in statistikus. ,She's a statistician. ,É estatística. ,It’s statistical. ,იგი სტატისტიკოსია. ,He is a statistician. ,Sie ist Statistikerin. ,She is a statistician. ,Είναι στατιστικολόγος. ,He is a statistician. ,તે આંકડાશાસ્ત્રી છે. ,He is a statistician. ,Li se yon statistisyen. ,He is a statistician. ,Ita mai ilimin lissafi ce. ,She is a mathematician. ,He Heluhelu ʻo ia. ,He is a Reader. ,היא סטטיסטיקאית. ,She's a statistician. 
She is a surveyor.,Hän on katsastaja. ,He is a surveyor. ,Elle est géomètre. ,She is a surveyor. ,Se is in lânmjitter. ,She is a surveyor. ,É topógrafa. ,She is a surveyor. ,იგი არის გეოდეზი. ,He is a surveyor. ,Sie ist Vermesserin. ,She is a surveyor. ,Είναι επιθεωρητής. ,He is an inspector. ,તે એક સર્વેયર છે. ,He is a surveyor. ,Li se yon Geometry. ,He is a surveyor. ,Ita mai binciken ce. ,She is a researcher. ,He anaʻo ia. ,It is a measure. ,היא מודדת. ,She measures. 
She is a therapist.,Hän on terapeutti. ,He is a Therapist. ,Elle est thérapeute. ,She's a therapist. ,Se is in terapeut. ,She's a therapist. ,É terapeuta. ,She is a therapist. ,ის თერაპევტია. ,He is a therapist. ,Sie ist Therapeutin. ,She is a therapist. ,Είναι θεραπευτής. ,He is a therapist. ,તે એક ચિકિત્સક છે. ,He is a physician. ,Li se yon terapis. ,He is a therapist. ,Ita ce mai ilimin kwantar da hankali. ,She is a psychologist. ,He mea hoʻoponopono. ,It’s an editor. ,היא מטפלת. ,She cares. 
She is an undertaker.,Hän on hautausmaa. ,He is a cemetery. ,Elle est une pompes funèbres. ,She's a funeral director. ,Se is in ûndernimmer. ,She is an entrepreneur. ,É unha funeraria. ,It is a funeral home. ,ის მეწარმეა. ,He is an entrepreneur. ,Sie ist Bestatterin. ,She is an undertaker. ,Είναι επιχείρηση. ,It is a business. ,તે બાંયધરી આપનાર છે. ,He is the guarantor. ,Li se yon antreprenè. ,He is an entrepreneur. ,Ita ma'aikaciya ce. ,She is a worker. ,He mea lawelawe ʻo ia. ,He is a servant. ,היא קברנית. ,She's a gravedigger. 
She is an urban planner.,Hän on kaupunkisuunnittelija. ,She is an urban planner. ,Elle est urbaniste. ,She is an urban planner. ,Se is in stedsplaner. ,She's a city planner. ,É urbanista. ,He is an urban planner. ,ის არის ურბანული დაგეგმარება. ,It is urban planning. ,Sie ist Stadtplanerin. ,She is an urban planner. ,Είναι πολεοδόμος. ,He is an urban planner. ,તે એક શહેરી યોજના છે. ,It is an urban plan. ,Li se yon planifikatè iben. ,He is an urban planner. ,Ita mai tsara birni ce. ,She is a city planner. ,He mea hoʻolālā kūlanakauhale ʻo ia. ,He was a town planner. ,היא מתכננת ערים. ,She plans cities. 
She is a videographer.,Hän on videokuvaaja. ,He is a videographer. ,Elle est vidéaste. ,She is a videographer. ,Se is in fotograaf. ,She is a photographer. ,É videógrafa. ,She is a videographer. ,იგი არის ვიდეოგრაფი. ,He is a videographer. ,Sie ist Videografin. ,She is a videographer. ,Είναι βιντεογράφος. ,He is a videographer. ,તે એક વિડીયોગ્રાફર છે. ,She is a videographer. ,Li se yon videograf. ,He is a videographer. ,Ita mai daukar hoto ne. ,She is a photographer. ,He mea paʻi wikiō ʻo ia. ,He is a videographer. ,היא צלמת וידיאו. ,She is a videographer. 
She is a virologist.,Hän on virologi. ,He is a virologist. ,Elle est virologue. ,She's a virologist. ,Se is in virolooch. ,She's a virologist. ,É viróloga. ,She is a virologist. ,ის არის ვირუსოლოგი. ,He is a virologist. ,Sie ist Virologin. ,She is a virologist. ,Είναι ιολόγος. ,He is a virologist. ,તે વાઇરોલોજીસ્ટ છે. ,She is a virologist. ,Li se yon virolog. ,He is a virologist. ,Ita masanin ilmin likitanci ne. ,She is a medical scientist. ,He virologist ʻo ia. ,He is a virologist. ,היא וירולוגית. ,It is virological. 
She is a visual artist.,Hän on kuvataiteilija. ,He is a visual artist. ,Elle est une artiste visuelle. ,She is a visual artist. ,Se is in byldzjend keunstner. ,She is a visual artist. ,É unha artista visual. ,She is a visual artist. ,იგი არის ვიზუალური მხატვარი. ,She is a visual artist. ,Sie ist bildende Künstlerin. ,She is a visual artist. ,Είναι εικαστική καλλιτέχνης. ,She is a visual artist. ,તે દ્રશ્ય કલાકાર છે. ,He is a visual artist. ,Li se yon atis vizyèl. ,He is a visual artist. ,Ita mai fasaha ce mai gani. ,She is a visual artist. ,He mea pena kiʻi ʻike ʻo ia. ,He was an experienced painter. ,היא אמנית חזותית. ,She is a visual artist. 
She is a waiter.,Hän on tarjoilija. ,She is a waitress. ,Elle est serveur. ,She's a waiter. ,Se is in ober. ,She's a waiter. ,É camareira. ,She is a waitress. ,ის ოფიციანტია. ,He is a waiter. ,Sie ist Kellnerin. ,She is a waitress. ,Είναι σερβιτόρα. ,She is a waitress. ,તે વેઈટર છે. ,He is a waiter. ,Li se yon gason. ,He is a man. ,Ita ma'aikaciya ce. ,She is a worker. ,He waiter ʻo ia. ,He is a waiter. ,היא מלצרית. ,She's a waitress. 
She is a web designer.,Hän on web-suunnittelija. ,She is a web designer. ,Elle est designer Web. ,She is a web designer. ,Se is in webûntwerper. ,She is a web designer. ,É deseñadora web. ,She is a web designer. ,ის ვებ დიზაინერია. ,He is a web designer. ,Sie ist Webdesignerin. ,She is a web designer. ,Είναι σχεδιαστής ιστοσελίδων. ,He is a web designer. ,તે વેબ ડિઝાઇનર છે. ,She is a web designer. ,Li se yon designer entènèt. ,He is a web designer. ,Ita mai tsara yanar gizo ce. ,She is a web designer. ,He mea hoʻolālā pūnaewele ʻo ia. ,He is a web developer. ,היא מעצבת אתרים. ,She is a web designer. 
She is a web developer.,Hän on web-kehittäjä. ,He is a web developer. ,Elle est développeur Web. ,She is a web developer. ,Se is in webûntwikkelder. ,She is a web developer. ,É desenvolvedora web. ,She is a web developer. ,ის არის ვებ – შემქმნელი. ,He is a web developer. ,Sie ist Webentwicklerin. ,She is a web developer. ,Είναι προγραμματιστής ιστού. ,He is a web developer. ,તે વેબ ડેવલપર છે. ,He is a web developer. ,Li se yon pwomotè entènèt. ,He is an internet developer. ,Ita ce mai bunkasa yanar gizo. ,She is a web developer. ,He mea hoʻomohala pūnaewele ʻo ia. ,He is a web developer. ,היא מפתחת אתרים. ,She develops websites. 
She is a zoologist.,Hän on eläintieteilijä. ,He is a zoologist. ,Elle est zoologiste. ,She is a zoologist. ,Se is in soölooch. ,She's a zoologist. ,É zoóloga. ,She is a zoologist. ,ის არის ზოოლოგი. ,He is a zoologist. ,Sie ist Zoologe. ,She is a zoologist. ,Είναι ζωολόγος. ,He is a zoologist. ,તે પ્રાણીશાસ્ત્રી છે. ,He is a zoologist. ,Li se yon zoologist. ,He is a zoologist. ,Ita masaniyar dabba ce. ,She is an animal expert. ,He Zoologist ʻo ia. ,He is a Zoologist. ,היא זואולוגית. ,She's a zoologist. 
