original,En2Hmong,Hmong2En,En2Hungarian,Hungarian2En,En2Icelandic,Icelandic2En,En2Igbo,Igbo2En,En2Indonesian,Indonesian2En,En2Irish,Irish2En,En2Italian,Italian2En,En2Japanese,Japanese2En,En2Javanese,Javanese2En,En2Kannada,Kannada2En,En2Kazakh,Kazakh2En
She is a meteorologist.,Nws yog neeg nruab nrab ntawm lub hnub qub. ,He is the average person of the stars. ,Meteorológus. ,Meteorologist. ,Hún er veðurfræðingur. ,She's a meteorologist. ,Ọ bụ ọkà mmụta ihu igwe. ,He is a meteorologist. ,Dia adalah seorang ahli meteorologi. ,He is a meteorologist. ,Is meitéareolaí í. ,She is a meteorologist. ,È una meteorologa. ,She is a meteorologist. ,彼女は気象学者です。 ,She is a meteorologist. ,Dheweke meteorologi. ,He is a meteorologist. ,ಅವಳು ಹವಾಮಾನಶಾಸ್ತ್ರಜ್ಞ. ,She is a meteorologist. ,Ол метеоролог. ,He is a meteorologist. 
She is a midwife.,Nws yog tus pab tiv thaiv me nyuam. ,She is a child protection advocate. ,Szülésznő. ,Midwife. ,Hún er ljósmóðir. ,She's a midwife. ,Ọ bụ nwanyị na-eji ime. ,She is a pregnant woman. ,Dia adalah seorang bidan. ,She is a midwife. ,Is bean chabhartha í. ,She is a midwife. ,È un'ostetrica. ,She is a midwife. ,彼女は助産師です。 ,She is a midwife. ,Dheweke bidan. ,She is a midwife. ,ಅವಳು ಸೂಲಗಿತ್ತಿ. ,She is the midwife. ,Ол акушерка. ,She is a midwife. 
She is a military officer.,Nws yog tus thawj tub rog. ,He is the commander. ,Katonatiszt. ,Military officer. ,Hún er herforingi. ,She's a military commander. ,Ọ bụ onyeisi ndị agha. ,He was a commander. ,Dia adalah seorang perwira militer. ,He is a military officer. ,Is oifigeach míleata í. ,She is a military officer. ,È un ufficiale militare. ,He is a military officer. ,彼女は軍の将校です。 ,She is a military officer. ,Dheweke dadi perwira militer. ,He was a military officer. ,ಅವಳು ಮಿಲಿಟರಿ ಅಧಿಕಾರಿ. ,She is a military officer. ,Ол әскери офицер. ,He is a military officer. 
She is a nutritionist.,Nws yog neeg noj zaub mov. ,He is a foodie. ,Táplálkozási szakember. ,Nutritionist. ,Hún er næringarfræðingur. ,She's a nutritionist. ,Ọ bụ ọkachamara n’ihe banyere nri. ,He specializes in food. ,Dia adalah seorang ahli gizi. ,He is a nutritionist. ,Is cothaitheoir í. ,She is a nurturer. ,È una nutrizionista. ,She is a nutritionist. ,彼女は栄養士です。 ,She is a nutritionist. ,Dheweke ahli gizi. ,She is a nutritionist. ,ಅವಳು ಪೌಷ್ಟಿಕತಜ್ಞ. ,She is a nutritionist. ,Ол диетолог. ,He is a nutritionist. 
She is an oceanographer.,Nws yog neeg tshawb fawb hiav txwv. ,He is a sea explorer. ,Óceánográfus. ,Oceanographer. ,Hún er haffræðingur. ,She's an oceanographer. ,Ọ bụ onye na-ese n'oké osimiri. ,He is a painter at sea. ,Dia adalah seorang ahli kelautan. ,He is an oceanographer. ,Is aigéaneolaí í. ,She is an oceanographer. ,È un'oceanografa. ,She is an oceanographer. ,彼女は海洋学者です。 ,She is an oceanographer. ,Dheweke ahli ilmu laut. ,He is a marine scientist. ,ಅವಳು ಸಮುದ್ರಶಾಸ್ತ್ರಜ್ಞ. ,She is an oceanographer. ,Ол мұхиттанушы. ,He is an oceanographer. 
She is an osteopath.,Nws yog ib osteopath. ,He is an osteopath. ,Osteopata. ,Osteopath. ,Hún er osteópati. ,She's an osteopath. ,Ọ na-bụ osteopath. ,He is an osteopath. ,Dia adalah seorang ahli osteopati. ,He is an osteopath. ,Is osteopath í. ,She is an osteopath. ,Lei è un osteopata. ,She is an osteopath. ,彼女は整骨医です。 ,She is an osteopath. ,Dheweke osteopat. ,She is an osteopath. ,ಅವಳು ಆಸ್ಟಿಯೋಪಾತ್. ,She is an osteopath. ,Ол остеопат. ,He is an osteopath. 
She is a painter.,Nws yog tus neeg pleev kob. ,He was a painter. ,Festőművész. ,Painter. ,Hún er málari. ,She's a painter. ,Ọ bụ onye na-ese ihe. ,He is an artist. ,Dia adalah seorang pelukis. ,He is a painter. ,Is péintéir í. ,She is a painter. ,È una pittrice. ,She is a painter. ,彼女は画家です。 ,She is a painter. ,Dheweke pelukis. ,She is a painter. ,ಅವಳು ವರ್ಣಚಿತ್ರಕಾರ. ,She is a painter. ,Ол суретші. ,He is an artist. 
She is a paramedic.,Nws yog ib tug paramedic. ,He is a paramedic. ,Mentős. ,Paramedic. ,Hún er sjúkraliði. ,She's a paramedic. ,Ọ bụ paramedic. ,He is a paramedic. ,Dia adalah seorang paramedis. ,He is a paramedic. ,Is paraimhíochaineoir í. ,She is a paramedic. ,È un paramedico. ,He is a paramedic. ,彼女は救急救命士です。 ,She is a paramedic. ,Dheweke dadi paramedis. ,He was a paramedic. ,ಅವಳು ಅರೆವೈದ್ಯ. ,She is a paramedic. ,Ол фельдшер. ,He is a paramedic. 
She is a pathologist.,Nws yog tus kawm txog kab mob. ,He is a theologian. ,Patológus. ,Pathologist. ,Hún er meinatæknir. ,She's a pathologist. ,Ọ bụ ọkà n’akparamàgwà mmadụ. ,He is a psychologist. ,Dia adalah seorang ahli patologi. ,He is a pathologist. ,Is paiteolaí í. ,She is a pathologist. ,È una patologa. ,She is a pathologist. ,彼女は病理医です。 ,She is a pathologist. ,Dheweke ahli patologis. ,He is a pathologist. ,ಅವಳು ರೋಗಶಾಸ್ತ್ರಜ್ಞ. ,She is a pathologist. ,Ол патолог. ,He is a pathologist. 
She is a pharmacologist.,Nws yog tus kws tshuaj. ,He is a pharmacist. ,Ő gyógyszerész. ,He's a pharmacist. ,Hún er lyfjafræðingur. ,She's a pharmacist. ,Ọ bụ ọkà mmụta ọgwụ na ọgwụ. ,He is a pharmacologist and pharmacist. ,Dia adalah seorang farmakolog. ,He is a pharmacologist. ,Is cógaseolaí í. ,She is a pharmacologist. ,È farmacologa. ,She is a pharmacologist. ,彼女は薬理学者です。 ,She is a pharmacologist. ,Dheweke ahli farmasi. ,She is a pharmacist. ,ಅವಳು c ಷಧಶಾಸ್ತ್ರಜ್ಞ. ,She is a c oncologist. ,Ол фармаколог. ,He is a pharmacologist. 
She is a philosopher.,Nws yog tus kws txawj xav. ,He is an expert. ,Filozófus. ,Philosopher. ,Hún er heimspekingur. ,She's a philosopher. ,Ọ bụ ọkà ihe ọmụma. ,He is a philosopher. ,Dia adalah seorang filsuf. ,He is a philosopher. ,Is fealsamh í. ,She is a philosopher. ,È una filosofa. ,She is a philosopher. ,彼女は哲学者です。 ,She is a philosopher. ,Dheweke filsuf. ,He was a philosopher. ,ಅವಳು ದಾರ್ಶನಿಕ. ,She's a visionary. ,Ол философ. ,He is a philosopher. 
She is a photographer.,Nws yog tus kws yees duab. ,He is a photographer. ,Fotós. ,Photographer. ,Hún er ljósmyndari. ,She's a photographer. ,Ọ bụ onye na-ese foto. ,He is a photographer. ,Dia adalah seorang fotografer. ,He is a photographer. ,Is grianghrafadóir í. ,She is a photographer. ,È una fotografa. ,She is a photographer. ,彼女は写真家です。 ,She is a photographer. ,Dheweke dadi fotografer. ,He was a photographer. ,ಅವಳು ographer ಾಯಾಗ್ರಾಹಕ. ,She is a photographer. ,Ол фотограф. ,He is a photographer. 
She is a physician assistant.,Nws yog kws kho mob pabcuam. ,He is a physician assistant. ,Orvosi asszisztens. ,Medical assistant. ,Hún er læknishjálp. ,She's a doctor. ,Ọ bụ osote dibịa. ,He is the Deputy Physician. ,Dia adalah asisten dokter. ,He is a doctor's assistant. ,Is cúntóir lia í. ,She is a medical assistant. ,È assistente medico. ,He is a medical assistant. ,彼女は医師の助手です。 ,She is a doctor's assistant. ,Dheweke dadi asisten dokter. ,He was an assistant physician. ,ಅವಳು ವೈದ್ಯ ಸಹಾಯಕ. ,She is a physician assistant. ,Ол дәрігердің көмекшісі. ,He is a doctor's assistant. 
She is a physicist.,Nws yog ib tug kws kho kho mob lub cev. ,He is a physical therapist. ,Ő fizikus. ,He is a physicist. ,Hún er eðlisfræðingur. ,She's a physicist. ,Ọ bụ dibia bekee. ,He is an English physician. ,Dia adalah seorang fisikawan. ,He is a physicist. ,Is fisiceoir í. ,She is a physicist. ,È una fisica. ,It is a physics. ,彼女は物理学者です。 ,She is a physicist. ,Dheweke fisika. ,He is a physicist. ,ಅವಳು ಭೌತಶಾಸ್ತ್ರಜ್ಞ. ,She is a physicist. ,Ол физик. ,He is a physicist. 
She is a pilot.,Nws yog tus tsav. ,He is the driver. ,Pilóta. ,Pilot. ,Hún er flugmaður. ,She's a pilot. ,Ọ bụ onye na-anya ụgbọelu. ,He is a pilot. ,Dia adalah seorang pilot. ,He is a pilot. ,Is píolótach í. ,She is a pilot. ,Lei è un pilota. ,She is a pilot. ,彼女はパイロットです。 ,She is a pilot ,Dheweke pilot. ,He was a pilot. ,ಅವಳು ಪೈಲಟ್. ,She's a pilot. ,Ол ұшқыш. ,He is a pilot. 
She is a plumber.,Nws yog neeg ua haujlwm khaws cia. ,He is a storage worker. ,Vízvezeték-szerelő. ,Plumber. ,Hún er pípulagningamaður. ,She's a plumber. ,Ọ bụ plọmba. ,It's a plumbing. ,Dia adalah seorang tukang ledeng. ,He is a plumber. ,Is pluiméir í. ,She is a plumber. ,È un idraulico. ,He is a plumber. ,彼女は配管工です。 ,She is a plumber. ,Dheweke tukang ledeng. ,He was a plumber. ,ಅವಳು ಕೊಳಾಯಿಗಾರ. ,She is a plumber. ,Ол сантехник. ,He is a plumber. 
She is a politician.,Nws yog ib tug politician. ,He is a politician. ,Ő politikus. ,He is a politician. ,Hún er stjórnmálamaður. ,She's a politician. ,Ọ bụ onye ndọrọ ndọrọ ọchịchị. ,He is a politician. ,Dia adalah seorang politisi. ,He is a politician. ,Is polaiteoir í. ,She is a politician. ,È una politica. ,It is a policy. ,彼女は政治家です。 ,She is a politician. ,Dheweke dadi politisi. ,He was a politician. ,ಅವಳು ರಾಜಕಾರಣಿ. ,She is a politician. ,Ол саясаткер. ,He is a politician. 
She is a receptionist.,Nws yog tus txais tos. ,She is welcoming. ,Recepciós. ,Receptionist. ,Hún er móttökuritari. ,She's a receptionist. ,Ọ bụ onye nnabata. ,He is a host. ,Dia adalah seorang resepsionis. ,She is a receptionist. ,Is fáilteoir í. ,She is a receptionist. ,È una receptionist. ,She is a receptionist. ,彼女は受付係です。 ,She is a receptionist. ,Dheweke resepsionis. ,She is a receptionist. ,ಅವಳು ಸ್ವಾಗತಕಾರ. ,She's a receptionist. ,Ол қабылдаушы. ,He is the host. 
She is a registered nurse.,Nws yog tus neeg saib xyuas mob. ,She is a nurse. ,Regisztrált nővér. ,Registered nurse. ,Hún er löggiltur hjúkrunarfræðingur. ,She is a certified nurse. ,Ọ bụ nọọsụ nọọsụ. ,She is a nurse practitioner. ,Dia adalah perawat terdaftar. ,She is a registered nurse. ,Is altra cláraithe í. ,She is a registered nurse. ,È un'infermiera registrata. ,She is a registered nurse. ,彼女は登録看護師です。 ,She is a registered nurse. ,Dheweke dadi perawat sing ndaftar. ,She is a registered nurse. ,ಅವಳು ನೋಂದಾಯಿತ ನರ್ಸ್. ,She is a registered nurse. ,Ол тіркелген мейірбике. ,She is a registered nurse. 
She is a salesman.,Nws yog tus muag khoom. ,He is the seller. ,Eladó. ,Seller. ,Hún er sölumaður. ,She's a saleswoman. ,O bu onye ahia ahia. ,He is a businessman. ,Dia adalah seorang salesman. ,He is a salesman. ,Is díoltóir í. ,She is a seller. ,È una commessa. ,It is a saleswoman. ,彼女はセールスマンです。 ,She is a salesman. ,Dheweke dadi salesman. ,He was a salesman. ,ಅವಳು ಸೇಲ್ಸ್‌ಮ್ಯಾನ್. ,She's a salesman. ,Ол сатушы. ,He is a seller. 
She is a salesperson.,Nws yog tus neeg muag khoom. ,He is the seller. ,Értékesítő. ,Salesman. ,Hún er sölumaður. ,She's a saleswoman. ,O bu onye ahia ahia. ,He is a businessman. ,Dia adalah seorang penjual. ,He is a salesperson. ,Is díoltóir í. ,She is a seller. ,È una commessa. ,It is a saleswoman. ,彼女は販売員です。 ,She is a salesperson. ,Dheweke dadi salesman. ,He was a salesman. ,ಅವಳು ಮಾರಾಟಗಾರ. ,She is a salesman. ,Ол сатушы. ,He is a seller. 
She is a scientist.,Nws yog ib tus kws tshawb fawb. ,He is a scientist. ,Tudós. ,Scientist. ,Hún er vísindamaður. ,She's a scientist. ,Ọ bụ ọkà mmụta sayensị. ,He is a scientist. ,Dia adalah seorang ilmuwan. ,He is a scientist. ,Is eolaí í. ,She is a scientist. ,È una scienziata. ,She is a scientist. ,彼女は科学者です。 ,She is a scientist ,Dheweke ilmuwan. ,He is a scientist. ,ಅವಳು ವಿಜ್ಞಾನಿ. ,She is a scientist. ,Ол ғалым. ,He is a scientist. 
She is a sea captain.,Nws yog tus thawj tsav hiav txwv. ,He was the captain of the sea. ,Tengeri kapitány. ,Sea Captain. ,Hún er skipstjóri á sjó. ,She's a captain at sea. ,Ọ bụ onyeisi ụgbọ mmiri. ,He is the captain of a ship. ,Dia adalah seorang kapten laut. ,He is a sea captain. ,Is captaen farraige í. ,She is a sea captain. ,È un capitano di mare. ,He is a sea captain. ,彼女は船長です。 ,She is the captain. ,Dheweke dadi kapten segara. ,He was the captain of the navy. ,ಅವಳು ಸಮುದ್ರ ಕ್ಯಾಪ್ಟನ್. ,She is a sea captain. ,Ол теңіз капитаны. ,He is a naval captain. 
She is a secretary.,Nws yog tus khaws ntaub ntawv. ,He is the registrar. ,Ő egy titkárnő. ,She is a secretary. ,Hún er ritari. ,She's a secretary. ,Ọ bụ odeakwụkwọ. ,He is the secretary. ,Dia adalah sekretaris. ,She is a secretary. ,Is rúnaí í. ,She is a secretary. ,Lei è una segretaria. ,She is a secretary. ,彼女は秘書です。 ,She is a secretary ,Dheweke dadi sekretaris. ,He was secretary. ,ಅವಳು ಕಾರ್ಯದರ್ಶಿ. ,She is the secretary. ,Ол хатшы. ,He is a secretary. 
She is a singer.,Nws yog tus hu nkauj. ,She is a singer. ,Ő énekes. ,She is a singer. ,Hún er söngkona. ,She's a singer. ,Ọ bụ onye ọbụ abụ. ,He was a singer. ,Dia adalah seorang penyanyi. ,He is a singer. ,Is amhránaí í. ,She is a singer. ,Lei è una cantante. ,She is a singer. ,彼女は歌手です。 ,She is a singer ,Dheweke dadi penyanyi. ,She is a singer. ,ಅವಳು ಗಾಯಕಿ. ,She's a singer. ,Ол әнші. ,She is a singer. 
She is a solicitor.,Nws yog tus daws kev nyuaj siab. ,He is the antidote to depression. ,Ügyvéd. ,Lawyer. ,Hún er lögfræðingur. ,She's a lawyer. ,Ọ bụ onye ọka iwu. ,He is a lawyer. ,Dia adalah seorang pengacara. ,He is a lawyer. ,Is aturnae í. ,She is an attorney. ,È un avvocato. ,He is a lawyer. ,彼女は弁護士です。 ,She is a lawyer. ,Dheweke dadi pengacara. ,He was a lawyer. ,ಅವಳು ಸಾಲಿಸಿಟರ್. ,She is a solicitor. ,Ол адвокат. ,He is a barrister. 
She is a speech pathologist.,Nws yog tus hais lus kho mob. ,He is a medical speaker. ,Beszédpatológus. ,Speech pathologist. ,Hún er talmeinafræðingur. ,She's a speech pathologist. ,O bu dibia bekee na ekwu okwu. ,He is an English doctor. ,Dia adalah seorang ahli patologi wicara. ,He is a speech pathologist. ,Is paiteolaí cainte í. ,She is a speech pathologist. ,È una logopedista. ,She is a speech therapist. ,彼女は言語病理学者です。 ,She is a language pathologist. ,Dheweke ahli patologi pidato. ,He is a speech pathologist. ,ಅವಳು ಸ್ಪೀಚ್ ಪ್ಯಾಥಾಲಜಿಸ್ಟ್. ,She is a speech pathologist. ,Ол дефектолог. ,He is a speech pathologist. 
She is a speech-language pathologist.,Nws yog tus kws kho mob hais lus. ,He is a speech therapist. ,Beszédnyelvi patológus. ,Spoken pathologist. ,Hún er talmeinafræðingur. ,She's a speech pathologist. ,Ọ bụ ọkà mmụta asụsụ na-asụ asụsụ. ,He is a linguist. ,Dia adalah ahli patologi wicara-bahasa. ,He is a speech-language pathologist. ,Is paiteolaí teanga urlabhra í. ,She is a speech language pathologist. ,È una patologa del linguaggio. ,She is a speech pathologist. ,彼女は言語聴覚士です。 ,She is a speech therapist. ,Dheweke ahli patologi basa wicara. ,He is a speech pathologist. ,ಅವಳು ಭಾಷಣ-ಭಾಷೆಯ ರೋಗಶಾಸ್ತ್ರಜ್ಞ. ,She is a speech-language pathologist. ,Ол дефектолог. ,He is a speech pathologist. 
She is a statistician.,Nws yog tus txheeb cais. ,It is a statistic. ,Statisztikus. ,Statistician. ,Hún er tölfræðingur. ,She's a statistician. ,Ọ bụ onye ọnụ ọgụgụ. ,He is a figure. ,Dia adalah seorang ahli statistik. ,He is a statistician. ,Is staitisteoir í. ,She is a statistician. ,È una statistica. ,It's a statistic. ,彼女は統計学者です。 ,She is a statistician. ,Dheweke statistikawan. ,He is a statistician. ,ಅವಳು ಸಂಖ್ಯಾಶಾಸ್ತ್ರಜ್ಞ. ,She is a statistician. ,Ол статист. ,He is a statistician. 
She is a surveyor.,Nws yog tus soj ntsuam. ,He is the inspector. ,Földmérő. ,Surveyor. ,Hún er landmælingamaður. ,She's a surveyor. ,Ọ bụ onye nyocha. ,He is a researcher. ,Dia adalah seorang surveyor. ,He is a surveyor. ,Is suirbhéir í. ,She is a surveyor. ,È un geometra. ,He is a surveyor. ,彼女は測量士です。 ,She is a surveyor. ,Dheweke surveyor. ,He was a surveyor. ,ಅವಳು ಸರ್ವೇಯರ್. ,She is a surveyor. ,Ол маркшейдер. ,He is a surveyor. 
She is a therapist.,Nws yog tus kws kho mob. ,He is a doctor. ,Terapeuta. ,Therapist. ,Hún er meðferðaraðili. ,She's a therapist. ,Ọ bụ onye na-agwọ ọrịa. ,He was a healer. ,Dia adalah seorang terapis. ,He is a therapist. ,Is teiripeoir í. ,She is a therapist. ,È una terapista. ,She is a therapist. ,彼女はセラピストです。 ,She is a therapist. ,Dheweke ahli terapi. ,She is a therapist. ,ಅವಳು ಚಿಕಿತ್ಸಕ. ,She is a therapist. ,Ол терапевт. ,He is a therapist. 
She is an undertaker.,Nws yog tus lees paub. ,He is the guarantor. ,Temetkezési vállalkozó. ,Undertaker. ,Hún er útfararstjóri. ,She's a funeral director. ,Ọ bụ onye na-eli ozu. ,He is a funeral director. ,Dia adalah seorang pengurus. ,He is a steward. ,Is gnóthaire í. ,She is an undertaker. ,È un becchino. ,He's a gravedigger. ,彼女は葬儀屋です。 ,She is a funeral director. ,Dheweke dadi tenaga kerja. ,He was a laborer. ,ಅವಳು ಕೆಲಸಗಾರ. ,She is a worker. ,Ол кәсіпкер. ,He is an entrepreneur. 
She is an urban planner.,Nws yog tus npaj hauv nroog loj. ,He was a big city planner. ,Várostervező. ,City planner. ,Hún er borgarskipuleggjandi. ,She's a city planner. ,Ọ bụ onye na-eme atụmatụ ime obodo. ,He is a rural planner. ,Dia adalah seorang perencana kota. ,He is a city planner. ,Is pleanálaí uirbeach í. ,She is an urban planner. ,È un'urbanista. ,She is a town planner. ,彼女は都市計画家です。 ,She is an urban planner. ,Dheweke minangka perancang kutha. ,He was a city designer. ,ಅವಳು ನಗರ ಯೋಜಕ. ,She is a city planner. ,Ол қала жоспарлаушы. ,He is a city planner. 
She is a videographer.,Nws yog tus saib video. ,He is watching the video. ,Videós. ,Video. ,Hún er myndritari. ,She's a graphic designer. ,Ọ bụ onye na-ese foto. ,He is a photographer. ,Dia adalah seorang videografer. ,He is a videographer. ,Is fís-ghrianghrafadóir í. ,She is a video photographer. ,È una videografa. ,She is a videographer. ,彼女は映像作家です。 ,She is a filmmaker. ,Dheweke dadi videografer. ,He was a videographer. ,ಅವಳು ವಿಡಿಯೋಗ್ರಾಫರ್. ,She is a videographer. ,Ол бейнематографист. ,He is a videographer. 
She is a virologist.,Nws yog ib tus virologist. ,He is a virologist. ,Virológus. ,Virologist. ,Hún er veirufræðingur. ,She's a virologist. ,Ọ bụ ọkachamara n'ọrịa. ,He is a pathologist. ,Dia adalah seorang ahli virus. ,He is a virologist. ,Is víreolaí í. ,She is a virologist. ,È una virologa. ,She is a virologist. ,彼女はウイルス学者です。 ,She is a virologist. ,Dheweke dadi ahli virologi. ,He is a virologist. ,ಅವಳು ವೈರಾಲಜಿಸ್ಟ್. ,She is a virologist. ,Ол вирусолог. ,He is a virologist. 
She is a visual artist.,Nws yog tus kos duab pom. ,It is the visible art. ,Képzőművész. ,Fine artist. ,Hún er myndlistarmaður. ,She is an artist. ,Ọ bụ onye na-ese ihe nkiri. ,He is an artist. ,Dia adalah seorang seniman visual. ,He is a visual artist. ,Is amharcealaíontóir í. ,She is a visual artist. ,È un'artista visiva. ,She is a visual artist. ,彼女はビジュアルアーティストです。 ,She is a visual artist. ,Dheweke seniman visual. ,She is a visual artist. ,ಅವಳು ದೃಶ್ಯ ಕಲಾವಿದೆ. ,She is a visual artist. ,Ол визуалды суретші. ,She is a visual artist. 
She is a waiter.,Nws yog tus uas nqa zaub mov. ,He is the one who carries the food. ,Pincér. ,Waiter. ,Hún er þjónn. ,She's a servant. ,Ọ bụ onye odibo. ,He is a servant. ,Dia adalah seorang pelayan. ,She is a servant. ,Is freastalaí í. ,She is a server. ,È una cameriera. ,She is a waitress. ,彼女はウェイターです。 ,She is a waiter. ,Dheweke dadi pelayan. ,He was a waiter. ,ಅವಳು ಮಾಣಿ. ,She's the waiter. ,Ол даяшы. ,She is a waiter. 
She is a web designer.,Nws yog tus tsim lub vev xaib. ,He is the creator of the website. ,Webdesigner. ,Webdesigner. ,Hún er vefhönnuður. ,She's a web designer. ,Ọ bụ onye na-ese ihe na weebụ. ,He is a web artist. ,Dia adalah seorang desainer web. ,He is a web designer. ,Is dearthóir gréasáin í. ,She is a web designer. ,È una web designer. ,She is a web designer. ,彼女はウェブデザイナーです。 ,She is a web designer. ,Dheweke desainer web. ,She is a web designer. ,ಅವಳು ವೆಬ್ ಡಿಸೈನರ್. ,She is a web designer. ,Ол веб-дизайнер. ,He is a web designer. 
She is a web developer.,Nws yog tus tsim tawm web. ,He is a web developer. ,Webfejlesztő. ,Web developer. ,Hún er vefhönnuður. ,She's a web designer. ,Ọ bụ web mmepe. ,It is web development. ,Dia adalah seorang pengembang web. ,He is a web developer. ,Is forbróir gréasáin í. ,She is a web developer. ,È una sviluppatrice web. ,She is a web developer. ,彼女はWeb開発者です。 ,She is a web developer. ,Dheweke dadi pangembang web. ,He is a web developer. ,ಅವಳು ವೆಬ್ ಡೆವಲಪರ್. ,She is a web developer. ,Ол веб-әзірлеуші. ,He is a web developer. 
She is a zoologist.,Nws yog qhov zoologist. ,He is a zoologist. ,Zoológus. ,Zoologist. ,Hún er dýrafræðingur. ,She's a zoologist. ,Ọ bụ ọkachamara n’ihe banyere ụmụ anụmanụ. ,He specializes in animals. ,Dia adalah seorang ahli zoologi. ,He is a zoologist. ,Is zó-eolaí í. ,She is a zoologist. ,È una zoologa. ,She is a zoologist. ,彼女は動物学者です。 ,She is a zoologist. ,Dheweke dadi ahli Zoologi. ,He was a zoologist. ,ಅವಳು ಪ್ರಾಣಿಶಾಸ್ತ್ರಜ್ಞ. ,She is a zoologist. ,Ол зоолог. ,He is a zoologist. 
