original,En2Sindhi,Sindhi2En,En2Sinhalese,Sinhalese2En,En2Slovak,Slovak2En,En2Slovenian,Slovenian2En,En2Somali,Somali2En,En2Spanish,Spanish2En,En2Sundanese,Sundanese2En,En2Swahili,Swahili2En,En2Swedish,Swedish2En,En2Tagalog,Tagalog2En,En2Tajik,Tajik2En,En2Tamil,Tamil2En
She is a licensed practical nurse.,هوءَ لائسنس يافته عملي نرس آهي. ,She is a licensed practical nurse. ,ඇය බලපත්‍රලාභී ප්‍රායෝගික හෙදියක්. ,She is a licensed practical nurse. ,Je licencovanou praktickou sestrou. ,She is a licensed nurse. ,Je licencirana medicinska sestra. ,She is a licensed nurse. ,Iyadu waa kalkaaliye caafimaad oo sharciyeysan. ,She is a licensed nurse. ,Ella es una enfermera práctica con licencia. ,She is a licensed practical nurse. ,Anjeunna mangrupikeun perawat praktis anu dilisensikeun. ,She is a licensed practical nurse. ,Yeye ni muuguzi aliye na leseni ya vitendo. ,She is a licensed practical nurse. ,Hon är licensierad praktisk sjuksköterska. ,She is a licensed practical nurse. ,Isa siyang lisensyadong praktikal na nars. ,She is a licensed practical nurse. ,Вай ҳамшираи амалии литсензия мебошад. ,She is a licensed practice nurse. ,அவர் உரிமம் பெற்ற நடைமுறை செவிலியர். ,She is a licensed practice nurse. 
She is a mechanic.,هوءَ مشيني آهي. ,She is machined. ,ඇය කාර්මික ශිල්පිනියකි. ,She is a technician. ,Je mechanička. ,She's a mechanic. ,Je mehanik. ,He's a mechanic. ,Waxay tahay makaanik. ,She is a mechanic. ,Ella es mecanica. ,She is a mechanic. ,Anjeunna mékanika. ,He is a mechanic. ,Yeye ni fundi. ,He is a craftsman. ,Hon är mekaniker. ,She's a mechanic. ,Mekaniko siya. ,He is a mechanic. ,Вай механизатор аст. ,She is a mechanic. ,அவள் ஒரு மெக்கானிக். ,She is a mechanic. 
She is a medical laboratory scientist.,هوءَ هڪ ميڊيڪل ليبارٽري سائنسدان آهي. ,She is a Medical Laboratory Scientist. ,ඇය වෛද්‍ය රසායනාගාර විද්‍යා ist වරියකි. ,She is a medical laboratory scientist. ,Je lekárskou laboratórnou vedkyňou. ,She is a medical laboratory scientist. ,Je znanstvenica iz medicinskega laboratorija. ,She is a scientist from a medical laboratory. ,Iyadu waa saynisyahan shaybaar caafimaad. ,She is a medical laboratory scientist. ,Ella es una científica de laboratorio médico. ,She is a medical laboratory scientist. ,Anjeunna élmuwan laboratorium médis. ,He is a medical laboratory scientist. ,Yeye ni mwanasayansi wa maabara ya matibabu. ,He is a medical laboratory scientist. ,Hon är medicinsk laboratorieforskare. ,She is a medical laboratory researcher. ,Siya ay isang siyentipikong medikal sa laboratoryo. ,He is a medical scientist in the laboratory. ,Вай донишманди лабораторияи тиббӣ мебошад. ,She is a medical laboratory scientist. ,அவர் ஒரு மருத்துவ ஆய்வக விஞ்ஞானி. ,He is a medical laboratory scientist. 
She is a meteorologist.,هوءَ موسميات جو ماهر آهي. ,She is a meteorologist. ,ඇය කාලගුණ විද්‍යා ologist වරියකි. ,She is a meteorologist. ,Je meteorologička. ,She's a meteorologist. ,Je meteorologinja. ,She is a meteorologist. ,Iyadu waa khabiir ku takhasustay saadaasha hawada. ,She is a meteorologist. ,Ella es meteoróloga. ,She is a meteorologist. ,Anjeunna ahli meteorologi. ,He is a meteorologist. ,Yeye ni mtaalam wa hali ya hewa. ,He is a meteorologist. ,Hon är meteorolog. ,She's a meteorologist. ,Siya ay isang meteorologist. ,He is a meteorologist. ,Вай метеоролог аст. ,She is a meteorologist. ,அவள் ஒரு வானிலை ஆய்வாளர். ,She is a meteorologist. 
She is a midwife.,هوءَ قابوا آهي. ,She is in control ,ඇය වින්නඹු මාතාවකි. ,She is a midwife. ,Je pôrodná asistentka. ,She is a midwife. ,Je babica. ,She's a midwife. ,Waa umuliso. ,She is a midwife. ,Ella es partera. ,She is a midwife. ,Anjeunna bidan. ,He is a midwife. ,Yeye ni mkunga. ,She is a midwife. ,Hon är barnmorska. ,She's a midwife. ,Siya ay isang komadrona. ,She is a midwife. ,Вай доя аст. ,She is a midwife. ,அவள் ஒரு மருத்துவச்சி. ,She is a midwife. 
She is a military officer.,هوءَ فوجي آفيسر آهي. ,She is a military officer. ,ඇය හමුදා නිලධාරිනියකි. ,She is an army officer. ,Je to vojenská dôstojníčka. ,She's a military officer. ,Je vojaška častnica. ,She is a military officer. ,Waa sarkaal ciidan. ,He is an army officer. ,Ella es un oficial militar. ,She is a military officer. ,Anjeunna mangrupikeun perwira militér. ,He is a military officer. ,Yeye ni afisa wa jeshi. ,He is an army officer. ,Hon är en militär officer. ,She's a military officer. ,Siya ay isang opisyal ng militar. ,He is a military officer. ,Вай як афсари низомӣ аст. ,He is a military officer. ,அவள் ஒரு ராணுவ அதிகாரி. ,She is an army officer. 
She is a nutritionist.,هوءَ غذائيت پسند آهي. ,She is a nutritionist. ,ඇය පෝෂණවේදිනියකි. ,She is a nutritionist. ,Je výživová poradkyňa. ,She is a nutritionist. ,Je nutricionistka. ,She is a nutritionist. ,Iyadu waa nafaqo-yaqaan. ,She is a nutritionist. ,Ella es nutricionista. ,She is a nutritionist. ,Anjeunna ahli gizi. ,He is a nutritionist. ,Yeye ni mtaalam wa lishe. ,She is a nutritionist. ,Hon är nutritionist. ,She is a nutritionist. ,Siya ay isang nutrisyonista. ,She is a nutritionist. ,Вай хӯрокхӯр аст. ,She is a diner. ,அவள் ஊட்டச்சத்து நிபுணர். ,She is a nutritionist. 
She is an oceanographer.,هوءَ سامونڊي ماهر آهي. ,She is a marine expert. ,ඇය සාගර විද්‍යා ographer වරියකි. ,She is an oceanographer. ,Je oceánografkou. ,She is an oceanographer. ,Je oceanografinja. ,She is an oceanographer. ,Waxay tahay aqoonyahan badeed. ,She is a marine scientist. ,Ella es oceanógrafa. ,She is an oceanographer. ,Anjeunna ahli poto laut. ,He is a marine photographer. ,Yeye ni mwandishi wa bahari. ,He is a maritime writer. ,Hon är en oceanograf. ,She's an oceanographer. ,Isa siyang Oceanographer. ,He is an Oceanographer. ,Вай уқёнусшинос аст. ,She is an oceanographer. ,அவள் ஒரு கடல்சார். ,She is a seafarer. 
She is an osteopath.,هوءَ هڪ اوستيوپيٿ آهي. ,She is an osteopath. ,ඇය අස්ථි රෝගියෙකි. ,She is a bone patient. ,Je osteopatka. ,She's an osteopath. ,Je osteopat. ,He is an osteopath. ,Iyadu waa osteopath. ,She is an osteopath. ,Ella es osteópata. ,She is an osteopath. ,Anjeunna hiji osteopat. ,He is an osteopath. ,Yeye ni osteopath. ,He is an osteopath. ,Hon är en osteopat. ,She's an osteopath. ,Siya ay isang osteopath. ,He is an osteopath. ,Вай остеопат аст. ,She is an osteopath. ,அவள் ஒரு எலும்பு முறிவு. ,She has a fracture. 
She is a painter.,هوءَ پينٽر آهي. ,She's the painter. ,ඇය චිත්‍ර ශිල්පිනියකි. ,She is an artist. ,Je maliarka. ,She's a painter. ,Je slikarka. ,She is a painter. ,Iyadu waa ranjiye. ,She is a painter. ,Ella es pintora. ,She is a painter. ,Anjeunna pelukis. ,He is a painter. ,Yeye ni mchoraji. ,He is a painter. ,Hon är målare. ,She's a painter. ,Siya ay isang pintor. ,He is an artist. ,Вай рассом аст. ,She is an artist. ,அவள் ஒரு ஓவியர். ,She is a painter. 
She is a paramedic.,هوءَ پرديسي آهي. ,She is a stranger ,ඇය පරිපූරක වෛද්‍යවරියකි. ,She is a paramedic. ,Je záchranárka. ,She's a lifeguard. ,Je reševalka. ,She's a lifeguard. ,Waxay tahay shaqaale caafimaad. ,She is a medical worker. ,Ella es paramédica. ,She is a paramedic. ,Anjeunna paramedis. ,He is a paramedic. ,Yeye ni paramedic. ,He is a paramedic. ,Hon är sjukvårdare. ,She's a nurse. ,Siya ay isang paramedic. ,He is a paramedic. ,Вай фельдшер аст. ,She is a paramedic. ,அவள் ஒரு துணை மருத்துவ நிபுணர். ,She is a paramedic. 
She is a pathologist.,هوءَ پيٿالوجسٽ آهي. ,She is a pathologist. ,ඇය ව්යාධි විද්යා is යෙකි. ,She is a pathologist. ,Je patologička. ,She's a pathologist. ,Je patologinja. ,She is a pathologist. ,Iyadu waa khabiir ku takhasusay cilmiga cudurada. ,She is a pathologist. ,Ella es patóloga. ,She is a pathologist. ,Anjeunna ahli patologis. ,He is a pathologist. ,Yeye ni mtaalam wa magonjwa. ,He is a pathologist. ,Hon är patolog. ,She's a pathologist. ,Siya ay isang pathologist. ,He is a pathologist. ,Вай патолог аст. ,She is a pathologist. ,அவள் ஒரு நோயியல் நிபுணர். ,She is a pathologist. 
She is a pharmacologist.,هوءَ فارماسولوجسٽ آهي. ,She is a pharmacologist. ,ඇය c ෂධවේදියෙකි. ,She is a pharmacist. ,Je farmakologička. ,She is a pharmacologist. ,Je farmakologinja. ,She is a pharmacologist. ,Iyadu waa dhakhtarad cilmiga dawooyinka. ,She is a pharmacologist. ,Ella es farmacóloga. ,She is a pharmacologist. ,Anjeunna ahli farmasi. ,He is a pharmacist. ,Yeye ni mtaalam wa dawa. ,He is a pharmacologist. ,Hon är farmakolog. ,She's a pharmacologist. ,Siya ay isang parmasyutiko. ,She is a pharmacist. ,Вай дорусоз аст. ,She is a pharmacist. ,அவள் மருந்தாளுநர். ,She is a pharmacist. 
She is a philosopher.,هوءَ فلسفي آهي. ,She is a philosopher. ,ඇය දාර්ශනිකයෙකි. ,She is a philosopher. ,Je filozofka. ,She is a philosopher. ,Je filozofinja. ,She is a philosopher. ,Iyadu waa falsafad. ,She is a philosopher. ,Ella es un filósofo. ,She is a philosopher. ,Anjeunna filsuf. ,He is a philosopher. ,Yeye ni mwanafalsafa. ,He is a philosopher. ,Hon är en filosof. ,She's a philosopher. ,Siya ay isang pilosopo. ,He was a philosopher. ,Вай файласуф аст. ,He is a philosopher. ,அவள் ஒரு தத்துவவாதி. ,She is a philosopher. 
She is a photographer.,هوءَ هڪ فوٽوگرافر آهي. ,She is a photographer. ,ඇය ඡායාරූප ශිල්පිනියකි. ,She is a photographer. ,Je fotografka. ,She is a photographer. ,Je fotografinja. ,She is a photographer. ,Iyadu waa sawirqaade. ,She is a photographer. ,Ella es fotógrafa. ,She's a photographer. ,Anjeunna fotografer. ,He is a photographer. ,Yeye ni mpiga picha. ,He is a photographer. ,Hon är fotograf. ,She's a photographer. ,Siya ay isang litratista. ,He is a photographer. ,Вай суратгир аст. ,She is a photographer. ,அவள் ஒரு புகைப்படக்காரர். ,She is a photographer. 
She is a physician assistant.,هوءَ هڪ طبيب جو اسسٽنٽ آهي. ,She is a physician's assistant. ,ඇය වෛද්‍ය සහායකවරියකි. ,She is a medical assistant. ,Je asistentkou lekára. ,She is a doctor's assistant. ,Je zdravniška asistentka. ,She is a medical assistant. ,Iyadu waa kaaliye dhakhtar. ,She is an assistant doctor. ,Ella es asistente médica. ,She is a medical assistant. ,Anjeunna mangrupikeun asistén dokter. ,He is an assistant physician. ,Yeye ni msaidizi wa daktari. ,She is a doctor's assistant. ,Hon är läkarassistent. ,She's a medical assistant. ,Siya ay isang katulong ng manggagamot. ,She is an assistant physician. ,Вай ёвари табиб аст. ,She is a doctor's assistant. ,அவர் ஒரு மருத்துவர் உதவியாளர். ,He is a medical assistant. 
She is a physicist.,هوءَ هڪ فزڪسسٽ آهي. ,She is a physicist. ,ඇය භෞතික විද්‍යා is යෙකි. ,She is a physicist. ,Je fyzička. ,She's a physicist. ,Je fizičarka. ,She's a physicist. ,Waxay tahay cilmiga fiisigiska. ,It is physics. ,Ella es física. ,She is a physicist. ,Anjeunna ahli fisika. ,He is a physicist. ,Yeye ni mwanafizikia. ,He is a physicist. ,Hon är fysiker. ,She's a physicist. ,Siya ay isang pisiko. ,He is a physicist. ,Вай физик аст. ,She is a physicist. ,அவள் இயற்பியலாளர். ,She is a physicist. 
She is a pilot.,هوءَ پائلٽ آهي. ,She's a pilot. ,ඇය නියමුවෙක්. ,She is a pilot. ,Je pilotkou. ,She's a pilot. ,Pilot je. ,He's a pilot. ,Iyadu waa duuliye. ,She is a pilot. ,Ella es piloto. ,She is a pilot. ,Anjeunna pilot. ,He is a pilot. ,Yeye ni rubani. ,He is a pilot. ,Hon är pilot. ,She's a pilot. ,Piloto siya. ,He is a pilot. ,Вай халабон аст. ,She is a pilot. ,அவள் ஒரு பைலட். ,She is a pilot. 
She is a plumber.,هوء هڪ پلمبر آهي. ,She is a plumber. ,ඇය ජලනල කාර්මිකයෙකි. ,She is a plumber. ,Je inštalatérka. ,She is a plumber. ,Ona je vodovodar. ,She's a plumber. ,Iyadu waa tuubiste. ,She is a plumber. ,Ella es fontanero. ,She is a plumber. ,Anjeunna tukang ledeng. ,He is a plumber. ,Yeye ni fundi bomba. ,He is a plumber. ,Hon är en rörmokare. ,She's a plumber. ,Siya ay isang tubero. ,He is a plumber. ,Вай челонгар аст. ,She is a plumber. ,அவள் ஒரு பிளம்பர். ,She is a plumber. 
She is a politician.,هوءَ سياڻو آهي. ,She is a politician. ,ඇය දේශපාලන ician යෙකි. ,She is a political icion. ,Je politička. ,She's a politician. ,Je političarka. ,She is a politician. ,Waa siyaasi. ,He is a politician. ,Ella es politica. ,She is a politician. ,Anjeunna politikus. ,He is a politician. ,Yeye ni mwanasiasa. ,He is a politician. ,Hon är politiker. ,She's a politician. ,Siya ay isang politiko. ,He is a politician. ,Вай сиёсатмадор аст. ,He is a politician. ,அவள் ஒரு அரசியல்வாதி. ,She is a politician. 
She is a receptionist.,هوءَ هڪ استقبال واري عورت آهي. ,She is a welcoming woman. ,ඇය පිළිගැනීමේ නිලධාරිනියකි. ,She is a receptionist. ,Je recepčná. ,She is a receptionist. ,Je receptorka. ,She's a receptionist. ,Iyadu waa soo dhaweyn. ,She is welcome. ,Ella es recepcionista. ,She is a recepcionist. ,Anjeunna resepsionis. ,He is a receptionist. ,Yeye ni mpokeaji. ,He is the recipient. ,Hon är receptionist. ,She's a receptionist. ,Siya ay isang resepsyonista. ,He is a receptionist. ,Вай қабулкунанда аст. ,She is a receiver. ,அவள் ஒரு வரவேற்பாளர். ,She is a receptionist. 
She is a registered nurse.,هوءَ هڪ رجسٽرڊ نرس آهي. ,She is a registered nurse. ,ඇය ලියාපදිංචි හෙදියක්. ,She is a registered nurse. ,Je registrovanou sestrou. ,She is a registered nurse. ,Je registrirana medicinska sestra. ,She is a registered nurse. ,Iyadu waa kalkaaliye caafimaad oo diiwaangashan. ,She is a registered nurse. ,Ella es una enfermera titulada. ,She is a registered nurse. ,Anjeunna mangrupikeun perawat anu kadaptar. ,She is a registered nurse. ,Yeye ni muuguzi aliyesajiliwa. ,She is a registered nurse. ,Hon är sjuksköterska. ,She's a nurse. ,Siya ay rehistradong nars. ,She is a registered nurse. ,Вай ҳамшираи бақайдгирифташуда мебошад. ,She is a registered nurse. ,அவள் பதிவுசெய்யப்பட்ட நர்ஸ். ,She is a registered nurse. 
She is a salesman.,هوءَ وڪڻڻ واري آهي. ,She's a seller. ,ඇය විකුණුම්කරුවෙකි. ,She is a salesperson. ,Je predavačka. ,She is a saleswoman. ,Je prodajalka. ,She's a saleswoman. ,Iyadu waa iibiye. ,She is a seller. ,Ella es vendedora. ,She is a salesperson. ,Anjeunna salesman. ,He is a salesman. ,Yeye ni muuzaji. ,He is a salesman. ,Hon är säljare. ,She's a saleswoman. ,Salesman siya. ,He is a salesman. ,Вай фурӯшанда аст. ,She is a saleswoman. ,அவள் ஒரு விற்பனையாளர். ,She is a salesperson. 
She is a salesperson.,هوءَ فروش عورت آهي. ,She is a saleswoman. ,ඇය විකුණුම්කරුවෙකි. ,She is a salesperson. ,Je predavačka. ,She is a saleswoman. ,Je prodajalka. ,She's a saleswoman. ,Iyadu waa iibiye. ,She is a seller. ,Ella es vendedora. ,She is a salesperson. ,Anjeunna salesperson. ,He is a salesperson. ,Yeye ni muuzaji. ,He is a salesman. ,Hon är säljare. ,She's a saleswoman. ,Siya ay isang salesperson. ,He is a salesperson. ,Вай фурӯшанда аст. ,She is a saleswoman. ,அவள் ஒரு விற்பனையாளர். ,She is a salesperson. 
She is a scientist.,هوءَ سائنسدان آهي. ,She is a scientist. ,ඇය විද්‍යා ist වරියකි. ,She is a scientist. ,Je vedkyňa. ,She is a scientist. ,Ona je znanstvenica. ,She is a scientist. ,Iyadu waa saynisyahan. ,She is a scientist. ,Ella es una científica. ,She is a scientist. ,Anjeunna élmuwan. ,He is a scientist. ,Yeye ni mwanasayansi. ,He is a scientist. ,Hon är forskare. ,She is a researcher. ,Siyentista siya. ,He is a scientist. ,Вай олим аст. ,She is a scientist. ,அவள் ஒரு விஞ்ஞானி. ,She is a scientist. 
She is a sea captain.,هوءَ سمنڊ جي ڪپتان آهي. ,She is the captain of the sea. ,ඇය මුහුදු කපිතාන්වරයෙකි. ,She is a sea captain. ,Je námornou kapitánkou. ,She's a sea captain. ,Ona je morski kapitan. ,She is a sea captain. ,Iyadu waa kabtan baddeed. ,She is a sea captain. ,Ella es un capitán de barco. ,She is a ship captain. ,Anjeunna kaptén laut. ,He is the captain of the sea. ,Yeye ni nahodha wa bahari. ,He is the captain of the sea. ,Hon är sjökapten. ,She's a sea captain. ,Siya ay isang kapitan sa dagat. ,He was a captain at sea. ,Вай капитани баҳр аст. ,He is the captain of the sea. ,அவள் கடல் கேப்டன். ,She is the captain of the sea. 
She is a secretary.,هوءَ سيڪريٽري آهي. ,She's the secretary. ,ඇය ලේකම්වරියකි. ,She is a secretary. ,Ona je sekretárka. ,She is a secretary. ,Je tajnica. ,She's a secretary. ,Iyadu waa xoghaye. ,She is a secretary. ,Ella es una secretaria. ,She is a secretary. ,Anjeunna sekretaris. ,He is the secretary. ,Yeye ni katibu. ,He is the secretary. ,Hon är en sekreterare. ,She's a secretary. ,Sekretaryo siya. ,He is the secretary. ,Вай котиб аст. ,She is a secretary. ,அவள் ஒரு செயலாளர். ,She is a secretary. 
She is a singer.,هوء ڳائڻي آهي. ,She is the singer ,ඇය ගායිකාවක්. ,She is a singer. ,Ona je speváčka. ,She is singer. ,Ona je pevka. ,She is a singer. ,Iyadu waa heesaa. ,She sings. ,Ella es una cantante. ,She is a singer. ,Anjeunna penyanyi. ,He is a singer. ,Yeye ni mwimbaji. ,She is a singer. ,Hon är en sångerska. ,She is a singer. ,Siya ay isang mang-aawit. ,She is a singer. ,Вай сароянда аст. ,She is a singer. ,அவள் ஒரு பாடகி. ,She is a singer. 
She is a solicitor.,هوءَ هڪ وڪيل ڇوڪري آهي. ,She is a lawyer girl ,ඇය සොලිසිටර්වරියකි. ,She is a solicitor. ,Je advokátkou. ,She is a lawyer. ,Je odvetnica. ,She's a lawyer. ,Iyadu waa garyaqaan. ,She is a lawyer. ,Ella es abogada. ,She is a lawyer. ,Anjeunna pangacara. ,He is a lawyer. ,Yeye ni wakili. ,He is a lawyer. ,Hon är advokat. ,She's a lawyer. ,Siya ay isang abogado. ,He is a lawyer. ,Вай адвокат аст. ,She is a lawyer. ,அவள் ஒரு வழக்குரைஞர். ,She is a lawyer. 
She is a speech pathologist.,هوءَ تقرير جي بيماري جو ماهر آهي. ,She is a speech therapist. ,ඇය කථන ව්‍යාධි විද්‍යා .යෙකි. ,She is a speech pathologist. ,Je rečovou patologičkou. ,She is a speech pathologist. ,Je logopedinja. ,She is a speech therapist. ,Iyadu waa khabiir ku takhasustay hadalka. ,She is an expert in speech. ,Ella es patóloga del habla. ,She is a speech pathologist. ,Anjeunna ahli patologis biantara. ,He is a speech pathologist. ,Yeye ni mtaalam wa magonjwa ya hotuba. ,He is a speech therapist. ,Hon är en talpatolog. ,She's a speech pathologist. ,Siya ay isang speech pathologist. ,He is a speech pathologist. ,Вай дефектолог аст. ,She is a speech pathologist. ,அவள் பேச்சு நோயியல் நிபுணர். ,She is a speech pathologist. 
She is a speech-language pathologist.,هوءَ تقرير-ٻولي جي ماھر ڊاڪٽر آھي. ,She is a speech-language therapist. ,ඇය කථන භාෂා ව්‍යාධි විද්‍යා .යෙකි. ,She is an oral linguist. ,Je patologičkou reči a jazyka. ,She is a pathologist of speech and language. ,Je patologinja za govorni jezik. ,She is a pathologist for spoken language. ,Iyadu waa khabiir ku takhasusay luqadda hadalka. ,She is a linguist. ,Ella es patóloga del habla y el lenguaje. ,She is a speech and language pathologist. ,Anjeunna ahli patologis bahasa-biantara. ,He is a pathologist of language-speech. ,Yeye ni mtaalam wa magonjwa ya lugha ya hotuba. ,He is a speech therapist. ,Hon är en talspråkig patolog. ,She is a speech pathologist. ,Siya ay isang pathologist sa pagsasalita ng wika. ,He is a pathologist in language speaking. ,Вай патологи логопед аст. ,She is a speech therapist. ,அவள் பேச்சு மொழி நோயியல் நிபுணர். ,She is a spoken language pathologist. 
She is a statistician.,هوء هڪ شمارياتي شخص آهي. ,She is a statistician. ,ඇය සංඛ්‍යාලේඛන ශිල්පිනියකි. ,She is a statistician. ,Je štatistička. ,She is a statistician. ,Je statističarka. ,She is a statistician. ,Iyadu waa tirokoob. ,She is a statistician. ,Ella es estadística. ,She is a statistician. ,Anjeunna ahli statistik. ,He is a statistician. ,Yeye ni mtaalam wa takwimu. ,He is a statistician. ,Hon är statistiker. ,She's a statistician. ,Siya ay isang istatistika. ,He is a statistician. ,Вай як омор аст. ,She is a statistician. ,அவள் ஒரு புள்ளிவிவர நிபுணர். ,She is a statistician. 
She is a surveyor.,هوءَ سرويئر آهي. ,She is the surveyor. ,ඇය මිනින්දෝරුවෙකි. ,She is a surveyor. ,Je geodetkou. ,She is a surveyor. ,Je geodeta. ,She is a surveyor. ,Iyadu waa sahan. ,She is a surveyor. ,Ella es topógrafo. ,She is a surveyor. ,Anjeunna juru ukur. ,He is a surveyor. ,Yeye ni mpimaji. ,He is a tester. ,Hon är en lantmätare. ,She's a surveyor. ,Isa siyang surveyor. ,He is a surveyor. ,Вай геодезист аст. ,He is a surveyor. ,அவள் ஒரு சர்வேயர். ,She is a surveyor. 
She is a therapist.,هوءَ هڪ معالج آهي. ,She is a therapist. ,ඇය චිකිත්සකවරියකි. ,She is a therapist. ,Je terapeutka. ,She is a therapist. ,Je terapevtka. ,She is a therapist. ,Iyadu waa daaweeye. ,She is a therapist. ,Ella es terapeuta. ,She is a therapist. ,Anjeunna therapist a. ,He is a therapist. ,Yeye ni mtaalamu. ,She is a professional. ,Hon är en terapeut. ,She's a therapist. ,Therapist siya. ,He is a therapist. ,Вай терапевт аст. ,She is a therapist. ,அவள் ஒரு சிகிச்சையாளர். ,She is a therapist. 
She is an undertaker.,هوء هڪ ترديد ڪندڙ آهي. ,She is an abuser. ,ඇය භාරකාරියකි. ,She is a trustee. ,Je pohrebná. ,She's funeral. ,Je pogrebnica. ,It's a funeral home. ,Iyadu waa shaqo-bixiye. ,She is an employer. ,Ella es una funeraria. ,She is a funeral home. ,Anjeunna ahli usaha. ,He is a business expert. ,Yeye ni mzikaji. ,He is the undertaker. ,Hon är en begravningsman. ,She's a funeral director. ,Siya ay isang undertaker. ,He is an undertaker. ,Вай undertaker аст. ,She is an undertaker. ,அவள் ஒரு வேலை செய்பவள். ,She is a workaholic. 
She is an urban planner.,هوءَ شهري منصوبابندي آهي. ,She is an urban planner. ,ඇය නාගරික සැලසුම්කරුවෙකි. ,She is an urban planner. ,Je urbanistkou. ,She is an urban planner. ,Je urbanistka. ,She is an urban planner. ,Iyadu waa qorsheeye magaalo. ,She is a city planner. ,Ella es una planificadora urbana. ,She is an urban planner. ,Anjeunna mangrupikeun perencana kota. ,He is a city planner. ,Yeye ni mpangaji wa mijini. ,He is an urban planner. ,Hon är en stadsplanerare. ,She's a city planner. ,Siya ay isang tagaplano ng lunsod. ,He is a city planner. ,Вай банақшагири шаҳр аст. ,She is a city planner. ,அவர் ஒரு நகர்ப்புற திட்டமிடுபவர். ,He is an urban planner. 
She is a videographer.,هوءَ هڪ ويڊيو گرافر آهي. ,She is a videographer. ,ඇය වීඩියෝ ග්‍රාහකයෙකි. ,She is a video receiver. ,Je kameramankou. ,She is a cameraman. ,Je snemalec. ,He is a cameraman. ,Waxay tahay sawir qaade. ,She is a photographer. ,Ella es camarógrafa. ,She is a cameraman. ,Anjeunna ahli pidéo. ,He is a video expert. ,Yeye ni mpiga picha wa video. ,He is a videographer. ,Hon är en videograf. ,She's a videographer. ,Siya ay isang videographer. ,He is a videographer. ,Вай видеограф аст. ,She is a videographer. ,அவள் வீடியோகிராஃபர். ,She is a videographer. 
She is a virologist.,هوءَ وائرلوجسٽ آهي. ,She is a virologist. ,ඇය වෛරස් විද්‍යා .යෙකි. ,She is a virologist. ,Je virológkou. ,She is a virologist. ,Je virologinja. ,She is a virologist. ,Iyadu waa khabiir ku takhasusay cilmiga virologist. ,She is a specialist in virology. ,Ella es viróloga. ,She is a virologist. ,Anjeunna ahli virologi. ,He is a virologist. ,Yeye ni mtaalam wa virolojia. ,He is a virologist. ,Hon är en virolog. ,She's a virologist. ,Siya ay isang virologist. ,He is a virologist. ,Вай вирусолог аст. ,She is a virologist. ,அவள் ஒரு வைராலஜிஸ்ட். ,She is a virologist. 
She is a visual artist.,هوءَ هڪ تصويري مصور آهي. ,She is a portrait artist. ,ඇය දෘශ්‍ය කලාකරුවෙකි. ,She is a visual artist. ,Je vizuálna umelkyňa. ,She is a visual artist. ,Je vizualna umetnica. ,She is a visual artist. ,Iyadu waa artiste muuqaal ah. ,She is a visual artiste. ,Ella es una artista visual. ,She is a visual artist. ,Anjeunna mangrupikeun seniman visual. ,He is a visual artist. ,Yeye ni msanii wa kuona. ,He is a visual artist. ,Hon är en bildkonstnär. ,She is a visual artist. ,Siya ay isang visual artist. ,He is a visual artist. ,Вай рассоми визуалӣ аст. ,She is a visual artist. ,அவர் ஒரு காட்சி கலைஞர். ,He is a visual artist. 
She is a waiter.,هوءَ ويٽر آهي. ,She is the waiter ,ඇය වේටර්වරියකි. ,She is a waitress. ,Je čašníčka. ,She is a waitress. ,Natakarica je. ,She's a waitress. ,Iyadu waa adeege. ,She is a servant. ,Ella es camarera. ,She is a waitress. ,Anjeunna palayan. ,He is a waiter. ,Yeye ni mhudumu. ,She is a waitress. ,Hon är en servitör. ,She's a waiter. ,Siya ay isang waiter. ,She is a waiter. ,Вай пешхизмат аст. ,She is a waitress. ,அவள் ஒரு பணியாளர். ,She is an employee. 
She is a web designer.,هوءَ ويب ڊزائنر آهي. ,She is a web designer. ,ඇය වෙබ් නිර්මාණකරුවෙකි. ,She is a web designer. ,Je webdizajnérka. ,She is a web designer. ,Je spletna oblikovalka. ,She is a web designer. ,Iyadu waa naqshadeeye web. ,She is a web designer. ,Ella es diseñadora web. ,She is a web designer. ,Anjeunna mangrupikeun desainer wéb. ,He is a web designer. ,Yeye ni mbuni wa wavuti. ,He is a web designer. ,Hon är webbdesigner. ,She is a web designer. ,Siya ay isang taga-disenyo ng web. ,He is a web designer. ,Вай дизайнери веб аст. ,She is a web designer. ,அவர் ஒரு வலை வடிவமைப்பாளர். ,He is a web designer. 
She is a web developer.,هوءَ ويب ڊولپر آهي. ,She is a web developer. ,ඇය වෙබ් සංවර්ධකයෙකි. ,She is a web developer. ,Je webová vývojárka. ,She is a web developer. ,Je spletna razvijalka. ,She is a web developer. ,Iyadu waa horumariyaha webka. ,She is a web developer. ,Ella es una desarrolladora web. ,She is a web developer. ,Anjeunna mangrupikeun pamekar wéb. ,He is a web developer. ,Yeye ni msanidi programu wa wavuti. ,He is a web developer. ,Hon är webbutvecklare. ,She is a web developer. ,Siya ay isang developer ng web. ,He is a web developer. ,Вай таҳиягари веб мебошад. ,She is a web developer. ,அவர் ஒரு வலை டெவலப்பர். ,He is a web developer. 
