original,En2Malagasy,Malagasy2En,En2Malay,Malay2En,En2Malayalam,Malayalam2En,En2Maltese,Maltese2En,En2Maori,Maori2En,En2Marathi,Marathi2En,En2Mongolian,Mongolian2En,En2Burmese,Burmese2En,En2Nepali,Nepali2En,En2Norwegian,Norwegian2En,En2Nyanja_Chichewa,Nyanja_Chichewa2En,En2Oriya,Oriya2En
She is a human resource specialist.,Manampahaizana manokana momba ny olombelona izy. ,He is an expert on humanity. ,Dia adalah pakar sumber manusia. ,He is a human resource expert. ,അവൾ ഒരു ഹ്യൂമൻ റിസോഴ്‌സ് സ്‌പെഷ്യലിസ്റ്റാണ്. ,She is a Human Resource Specialist. ,Hija speċjalista tar-riżorsi umani. ,She is a human resources specialist. ,He tohunga rauemi tangata ia. ,He is a human resource expert. ,ती मानव संसाधन तज्ञ आहे. ,She is a human resource expert. ,Тэр бол хүний нөөцийн мэргэжилтэн юм. ,He is a human resources specialist. ,သူမသည်လူ့စွမ်းအားအရင်းအမြစ်အထူးကုဖြစ်သည်။ ,She is a Human Resources Specialist. ,उनी मानव संसाधन विशेषज्ञ हुन्। ,He is a human resource expert. ,Hun er en menneskelig ressursspesialist. ,She is a human resources specialist. ,Ndi katswiri wothandiza anthu. ,He is a social worker. ,ସେ ଜଣେ ମାନବ ସମ୍ବଳ ବିଶେଷଜ୍ଞ | ,He is a human resources expert 
She is an immunologist.,Immunologista izy. ,He is an immunologist. ,Dia adalah ahli imunologi. ,He is an immunologist. ,അവൾ ഒരു ഇമ്മ്യൂണോളജിസ്റ്റാണ്. ,She is an immunologist. ,Hija immunologa. ,She is an immunologist. ,He kaimanaaki mate ia. ,He was a sick caretaker. ,ती एक इम्यूनोलॉजिस्ट आहे. ,She is an immunologist. ,Тэр дархлаа судлаач. ,He is an immunologist. ,သူသည်ရောဂါပြီးပညာရှင်ဖြစ်သည်။ ,He is a disease specialist. ,उनी एक प्रतिरक्षाविज्ञानी हुन्। ,He is an immunologist. ,Hun er immunolog. ,She's an immunologist. ,Ndiwachipatala. ,I am medical. ,ସେ ଜଣେ ପ୍ରତିରକ୍ଷା ବିଶେଷଜ୍ଞ | ,He is a defense expert 
She is an interpreters.,Mpandika teny izy. ,He is a translator. ,Dia adalah seorang jurubahasa. ,He is an interpreter. ,അവൾ ഒരു വ്യാഖ്യാതാവാണ്. ,She is a commentator. ,Hija interpreti. ,She is an interpreter. ,He kaiwhakamaori korero ia. ,He is an interpreter. ,ती दुभाष्या आहे. ,She is an interpreter. ,Тэр бол орчуулагч. ,He is a translator. ,သူမသည်စကားပြန်ဖြစ်သည်။ ,She is an interpreter. ,उनी दोभाषे हुन्। ,He is an interpreter. ,Hun er tolk. ,She is an interpreter. ,Iye ndi wotanthauzira. ,He is an interpreter. ,ସେ ଜଣେ ଅନୁବାଦକ | ,He is a translator 
She is a jeweller.,Mpanefy firavaka izy. ,She is a jeweler. ,Dia adalah tukang emas. ,He is a goldsmith. ,അവൾ ഒരു ജ്വല്ലറി. ,She is a jeweler. ,Hija ġojjelliera. ,She is a jeweler. ,He tangata whakapaipai ia. ,He was a decorative man. ,ती एक ज्वेलर आहे. ,She is a jeweler. ,Тэр бол үнэт эдлэл юм. ,It is jewelry. ,သူမသည်ရတနာတစ်ခုဖြစ်ပါတယ် ,She is a jewel ,उनी एक जौहरी हुन्। ,He is a jeweler. ,Hun er en gullsmed. ,She's a jeweler. ,Ndiwodzikongoletsa. ,It's beautiful. ,ସେ ଜଣେ ଅଳଙ୍କାର | ,She is a jeweler 
She is a lawyer.,Mpisolovava izy. ,He is a lawyer. ,Dia adalah seorang peguam. ,He is a lawyer. ,അവൾ ഒരു അഭിഭാഷകയാണ്. ,She is a lawyer. ,Hija avukat. ,She is a lawyer. ,He roia ia. ,He is a lawyer. ,ती एक वकील आहे. ,She is a lawyer. ,Тэр хуульч мэргэжилтэй. ,He is a lawyer. ,သူမသည်ရှေ့နေဖြစ်သည်။ ,She is a lawyer. ,उनी एक वकिल हुन्। ,He is a lawyer. ,Hun er en advokat. ,She's a lawyer. ,Ndi loya. ,I am a lawyer. ,ସେ ଜଣେ ଓକିଲ। ,He is a lawyer. 
She is a librarian.,Boky fitahirizam-boky izy. ,It is a library. ,Dia seorang pustakawan. ,He is a librarian. ,അവൾ ഒരു ലൈബ്രേറിയനാണ്. ,She is a librarian. ,Hija librara. ,She is a librarian. ,He kaitiaki pukapuka ia. ,He is a librarian. ,ती ग्रंथपाल आहे. ,She is a librarian. ,Тэр номын санч. ,He is a librarian. ,သူမသည်စာကြည့်တိုက်ရှိသည်။ ,She has a library. ,उनी लाइब्रेरियन हुन्। ,He is a librarian. ,Hun er bibliotekar. ,She is a librarian. ,Ndi mayi woyang'anira laibulale. ,She is the librarian. ,ସେ ଜଣେ ଗ୍ରନ୍ଥାଗାରିକ | ,He is a librarian 
She is a licensed practical nurse.,Mpitsabo mpanampy manana fahazoan-dàlana izy. ,She is a licensed nurse. ,Dia adalah jururawat praktikal berlesen. ,She is a licensed practical nurse. ,അവൾ ലൈസൻസുള്ള പ്രായോഗിക നഴ്‌സാണ്. ,She is a licensed practical nurse. ,Hija infermiera prattika liċenzjata. ,She is a licensed practice nurse. ,He nēhi mahi whai raihana ia. ,She is a licensed working nurse. ,ती परवानाधारक प्रॅक्टिकल नर्स आहे. ,She is a licensed practical nurse. ,Тэр бол тусгай зөвшөөрөлтэй практик сувилагч юм. ,She is a licensed practical nurse. ,သူမသည်လိုင်စင်ရလက်တွေ့ကျသောသူနာပြုတစ် ဦး ဖြစ်သည်။ ,She is a licensed practical nurse. ,उनी एक इजाजत प्राप्त व्यावहारिक नर्स हुन्। ,She is a licensed practical nurse. ,Hun er en lisensiert praktisk sykepleier. ,She is a licensed practical nurse. ,Ndi namwino wololedwa. ,She is a licensed nurse. ,ସେ ଜଣେ ଲାଇସେନ୍ସପ୍ରାପ୍ତ ପ୍ରାକ୍ଟିକାଲ୍ ନର୍ସ | ,She is a licensed practical nurse 
She is a mechanic.,Mekanika izy. ,He is a mechanic. ,Dia adalah seorang mekanik. ,He is a mechanic. ,അവൾ ഒരു മെക്കാനിക്ക് ആണ്. ,She is a mechanic. ,Hija mekkanik. ,She is a mechanic. ,He miihini ia. ,He is a machine. ,ती मेकॅनिक आहे. ,She is a mechanic. ,Тэр механикч. ,He is a mechanic. ,သူမသည်စက်ပြင်ဆရာ။ ,She is a mechanic. ,उनी मेकानिक हुन्। ,He is a mechanic. ,Hun er mekaniker. ,She's a mechanic. ,Ndi makaniko. ,It's mechanics. ,ସେ ଜଣେ ମେକାନିକ୍ | ,He is a mechanic 
She is a medical laboratory scientist.,Izy dia mpahay siansa amin'ny laboratoara. ,He is a laboratory scientist. ,Dia adalah saintis makmal perubatan. ,He is a medical laboratory scientist. ,അവൾ ഒരു മെഡിക്കൽ ലബോറട്ടറി ശാസ്ത്രജ്ഞയാണ്. ,She is a medical laboratory scientist. ,Hija xjenzata tal-laboratorju mediku. ,She is a medical laboratory scientist. ,He tangata putaiao putaiao. ,He was a scientist. ,ती वैद्यकीय प्रयोगशाळा वैज्ञानिक आहे. ,She is a medical laboratory scientist. ,Тэр бол эмнэлгийн лабораторийн эрдэмтэн юм. ,He is a medical laboratory scientist. ,သူမသည်ဆေးဘက်ဆိုင်ရာဓာတ်ခွဲခန်းသိပ္ပံပညာရှင်ဖြစ်သည်။ ,She is a medical laboratory scientist. ,उनी मेडिकल प्रयोगशाला वैज्ञानिक हुन्। ,He is a medical laboratory scientist. ,Hun er medisinsk laboratorieforsker. ,She is a medical laboratory researcher. ,Ndi wasayansi wazachipatala. ,He is a medical scientist. ,ସେ ଜଣେ ମେଡିକାଲ ଲାବୋରେଟୋରୀ ବ scientist ଜ୍ଞାନିକ | ,He is a medical laboratory scientist 
She is a meteorologist.,Mpikaroka toetrandro izy. ,He is a meteorologist. ,Dia adalah ahli meteorologi. ,He is a meteorologist. ,അവൾ ഒരു കാലാവസ്ഥാ നിരീക്ഷകയാണ്. ,She is a meteorologist. ,Hija meteorologa. ,She is a meteorologist. ,He meteorologist ia. ,A meteorologist him . ,ती हवामानशास्त्रज्ञ आहे. ,She is a meteorologist. ,Тэр цаг уурч юм. ,He is a meteorologist. ,သူမသည်မိုးလေ ၀ သပညာရှင်တစ် ဦး ဖြစ်သည်။ ,She is a meteorologist. ,उनी एक मौसमविज्ञानी हुन्। ,He is a meteorologist. ,Hun er meteorolog. ,She's a meteorologist. ,Ndi katswiri wazanyengo. ,He is a meteorologist. ,ସେ ଜଣେ ପାଣିପାଗ ବିଜ୍ଞାନୀ। ,He is a meteorologist. 
She is a midwife.,Mpampivelona izy. ,She is a midwife. ,Dia adalah bidan. ,She is a midwife. ,അവൾ ഒരു മിഡ്വൈഫാണ്. ,She is a midwife. ,Hija qabla. ,She is a midwife. ,He kaiwhakawhanau wahine ia. ,She is a midwife. ,ती एक दाई आहे. ,She is a midwife. ,Тэр эх баригч. ,She is a midwife. ,သူကသားဖွားဆရာမပါ။ ,She is not a midwife. ,उनी एक सुँडेकी छिन्। ,She is a midwife. ,Hun er jordmor. ,She's a midwife. ,Iye ndi mzamba. ,She is a midwife. ,ସେ ଜଣେ ଧାତ୍ରୀ। ,She is a midwife. 
She is a military officer.,Manamboninahitra miaramila izy. ,He is a military officer. ,Dia adalah pegawai tentera. ,He is a military officer. ,അവൾ ഒരു സൈനിക ഉദ്യോഗസ്ഥനാണ്. ,She is a military officer. ,Hija uffiċjal militari. ,She is a military officer. ,He āpiha hōia ia. ,He is a military officer. ,ती लष्करी अधिकारी आहे. ,She is a military officer. ,Тэр бол цэргийн офицер. ,He is a military officer. ,သူမသည်စစ်အရာရှိတ ဦး ဖြစ်သည်။ ,She is a military officer. ,उनी एक सैन्य अधिकारी हुन्। ,He is a military officer. ,Hun er en militær offiser. ,She is a military officer. ,Ndi msilikali. ,He is a soldier. ,ସେ ଜଣେ ସ military ନିକ। ,He is a military nickname. 
She is a nutritionist.,Izy dia mpahay sakafo. ,He is a nutritionist. ,Dia adalah pakar pemakanan. ,He is a nutritionist. ,അവൾ ഒരു പോഷകാഹാര വിദഗ്ധയാണ്. ,She is a nutritionist. ,Hija nutrizzjonista. ,She is a nutritionist. ,He kai totika ia. ,She is a healthy eater. ,ती एक न्यूट्रिशनिस्ट आहे. ,She is a nutritionist. ,Тэрээр хоол тэжээлийн мэргэжилтэн юм. ,He is a nutritionist. ,သူမသည်အာဟာရဗေဒပညာရှင်ဖြစ်သည်။ ,She is a nutritionist. ,उनी पोषण विशेषज्ञ हुन्। ,She is a nutritionist. ,Hun er ernæringsfysiolog. ,She is a nutritionist. ,Ndiwodya. ,I am a eater. ,ସେ ଜଣେ ପୁଷ୍ଟିକର ବିଶେଷଜ୍ଞ | ,He is a nutritionist 
She is an oceanographer.,Mpanoratra ranomasina izy. ,He is a sea writer. ,Dia adalah seorang jurutera laut. ,He is a marine engineer. ,അവൾ ഒരു സമുദ്രശാസ്ത്രജ്ഞയാണ്. ,She is an oceanographer. ,Hija oċeanografa. ,She is an oceanographer. ,He kaituhi moana ia. ,He is a marine writer. ,ती एक समुद्रशास्त्रज्ञ आहे. ,She is an oceanographer. ,Тэр бол далай судлаач юм. ,He is an oceanographer. ,သူမသည်သမုဒ္ဒရာပညာရှင်ဖြစ်သည်။ ,She is an oceanographer. ,उनी एक समुद्रोग्राफर हुन्। ,He is a seaman. ,Hun er en oceanograf. ,She's an oceanographer. ,Iye ndi wolemba nyanja. ,He is the seer. ,ସେ ଜଣେ ମହାସାଗରୀୟ | ,He is an ocean 
She is an osteopath.,Osteopat izy. ,He is an osteopath. ,Dia adalah pesakit osteopati. ,He is an osteopathic patient. ,അവൾ ഒരു ഓസ്റ്റിയോപത്താണ്. ,She is an osteopath. ,Hija osteopata. ,She is an osteopath. ,He osteopath ia. ,The osteopath it . ,ती ऑस्टिओपॅथ आहे. ,She is an osteopath. ,Тэр остеопат юм. ,He is an osteopath. ,သူမသည်အရိုးပွရောဂါဖြစ်သည်။ ,She has osteoporosis. ,उनी ओस्टियोपाथ हुन्। ,He is an osteopath. ,Hun er osteopat. ,She's an osteopath. ,Ndi matenda a osteopath. ,It's an osteopath's disease. ,ସେ ଜଣେ ଅଷ୍ଟିଓପାଥ୍ | ,He is an osteopath 
She is a painter.,Mpandoko sary izy. ,He is a painter. ,Dia adalah pelukis. ,He is a painter. ,അവൾ ഒരു ചിത്രകാരിയാണ്. ,She is a painter. ,Hija pittur. ,She is a painter. ,He kaipeita ia. ,He is a painter. ,ती एक चित्रकार आहे. ,She is a painter. ,Тэр бол зураач. ,He is an artist. ,သူမသည်ပန်းချီဆရာပါ ,She is an artist ,उनी एक चित्रकार हुन्। ,He is a painter. ,Hun er maler. ,She's a painter. ,Ndi wojambula. ,He is an artist. ,ସେ ଜଣେ ଚିତ୍ରକାର | ,He is a painter 
She is a paramedic.,Izy dia mpamonjy voina. ,He is a lifeguard. ,Dia adalah seorang paramedik. ,He is a paramedic. ,അവൾ ഒരു പാരാമെഡിക്കാണ്. ,She is a paramedic. ,Hija paramedika. ,She is a paramedic. ,He kaitautoko pararau. ,A paramedic. ,ती एक पॅरामेडिक आहे. ,She is a paramedic. ,Тэр бол эмнэлгийн ажилтан. ,He is a medical worker. ,သူမသည်သူနာပြုဖြစ်သည်။ ,She is a nurse. ,उनी एक प्यारामेडिक छिन्। ,She is a paramedic. ,Hun er ambulansepersonell. ,She's an ambulance crew. ,Ndiwothandizira zamankhwala. ,She is a medical assistant. ,ସେ ଜଣେ ପାରାମେଡିକ୍ | ,He is a paramedic 
She is a pathologist.,Patologista izy. ,He is a pathologist. ,Dia adalah ahli patologi. ,He is a pathologist. ,അവൾ ഒരു പാത്തോളജിസ്റ്റാണ്. ,She is a pathologist. ,Hija patoloġista. ,She is a pathologist. ,He kairangahau mate ia. ,He is a pathologist. ,ती पॅथॉलॉजिस्ट आहे. ,She is a pathologist. ,Тэр бол эмгэг судлаач юм. ,He is a pathologist. ,သူမသည်ရောဂါဗေဒပညာရှင်ဖြစ်သည်။ ,She is a pathologist. ,उनी एक रोग विशेषज्ञ हो। ,He is a pathologist. ,Hun er patolog. ,She's a pathologist. ,Iye ndi wodwala matenda. ,She is sick. ,ସେ ଜଣେ ପାଥୋଲୋଜିଷ୍ଟ | ,He is a pathologist 
She is a pharmacologist.,Mpahay fanafody izy. ,He is a pharmacist. ,Dia adalah ahli farmakologi. ,He is a pharmacologist. ,അവൾ ഒരു ഫാർമക്കോളജിസ്റ്റാണ്. ,She is a pharmacologist. ,Hija farmakoloġista. ,She is a pharmacologist. ,He tangata rongoa rongoa ia. ,He was a medical man. ,ती फार्माकोलॉजिस्ट आहे. ,She is a pharmacologist. ,Тэр эм зүйч мэргэжилтэй. ,She is a pharmacist. ,သူမသည်ဆေးဝါးပညာရှင်ဖြစ်သည်။ ,She is a pharmacist. ,उनी एक फार्माकोलोजिस्ट हुन्। ,He is a pharmacologist. ,Hun er farmakolog. ,She's a pharmacologist. ,Ndi dokotala wazamankhwala. ,He is a medical doctor. ,ସେ ଜଣେ ଫାର୍ମାକୋଲୋଜିଷ୍ଟ | ,He is a pharmacologist 
She is a philosopher.,Izy dia filozofa. ,He was a philosopher. ,Dia adalah seorang ahli falsafah. ,He was a philosopher. ,അവൾ ഒരു തത്ത്വചിന്തകയാണ്. ,She is a philosopher. ,Hija filosfu. ,She is a philosopher. ,He tangata whakaaro nui. ,He was a wise man. ,ती एक तत्वज्ञानी आहे. ,She is a philosopher. ,Тэр бол философич. ,He is a philosopher. ,သူမသည်အတွေးအခေါ်ပညာရှင်။ ,She is a philosopher. ,उनी एक दार्शनिक हुन्। ,He is a philosopher. ,Hun er en filosof. ,She is a philosopher. ,Ndi wafilosofi. ,He is a philosopher. ,ସେ ଜଣେ ଦାର୍ଶନିକ | ,He is a philosopher 
She is a photographer.,Mpaka sary izy. ,He is a photographer. ,Dia adalah jurugambar. ,He is a photographer. ,അവൾ ഒരു ഫോട്ടോഗ്രാഫറാണ്. ,She is a photographer. ,Hija fotografa. ,She is a photographer. ,He kaitango whakaahua ia. ,He is a photographer. ,ती एक छायाचित्रकार आहे. ,She is a photographer. ,Тэр бол гэрэл зурагчин. ,He is a photographer. ,သူမဟာဓာတ်ပုံဆရာတစ်ယောက်ပါ။ ,She is a photographer. ,उनी एक फोटोग्राफर हुन्। ,He is a photographer. ,Hun er fotograf. ,She's a photographer. ,Ndi wojambula zithunzi. ,He is a photographer. ,ସେ ଜଣେ ଫଟୋଗ୍ରାଫର | ,He is a photographer 
She is a physician assistant.,Mpanampy amin'ny dokotera izy. ,He is a medical assistant. ,Dia adalah pembantu doktor. ,He is a doctor's assistant. ,അവൾ ഒരു ഫിസിഷ്യൻ അസിസ്റ്റന്റാണ്. ,She is a Physician Assistant. ,Hija assistent tabib. ,She is an assistant doctor. ,He kaiawhina awhina ia. ,She is a helpful assistant. ,ती एक फिजीशियन असिस्टंट आहे. ,She is a physician assistant. ,Тэр эмчийн туслах юм. ,He is a doctor's assistant. ,သူမသည်ဆရာဝန်လက်ထောက်ဖြစ်သည်။ ,She is a doctor's assistant. ,उनी एक चिकित्सक सहायक हुन्। ,He is a medical assistant. ,Hun er legeassistent. ,She's a medical assistant. ,Ndi wothandizira adotolo. ,He is a medical assistant. ,ସେ ଜଣେ ଡାକ୍ତର ସହାୟକ। ,She is a doctor's assistant. 
She is a physicist.,Mpahay fizika izy. ,He is a physicist. ,Dia adalah seorang ahli fizik. ,He is a physicist. ,അവൾ ഒരു ഭൗതികശാസ്ത്രജ്ഞയാണ്. ,She is a physicist. ,Hija fiżika. ,She is physical. ,He tohunga ahupūngao ia. ,He is a physicist. ,ती एक भौतिकशास्त्रज्ञ आहे. ,She is a physicist. ,Тэр физикч. ,He is a physicist. ,သူမသည်ရူပဗေဒပညာရှင်ဖြစ်သည်။ ,She is a physicist. ,उनी भौतिकशास्त्री हुन्। ,He is a physicist. ,Hun er fysiker. ,She's a physicist. ,Ndi mwana wasayansi. ,It's a scientific child. ,ସେ ଜଣେ ପଦାର୍ଥ ବିଜ୍ଞାନୀ | ,He is a physicist 
She is a pilot.,Izy dia mpanamory fiaramanidina. ,He is a pilot. ,Dia adalah juruterbang. ,He is a pilot. ,അവൾ ഒരു പൈലറ്റാണ്. ,She is a pilot. ,Hija pilota. ,She is a pilot. ,He paerata ia. ,He is a pilot. ,ती पायलट आहे. ,She is a pilot. ,Тэр нисгэгч юм. ,He is a pilot. ,သူမသည်လေယာဉ်မှူးဖြစ်သည်။ ,She is a pilot. ,उनी पायलट हुन्। ,He is a pilot. ,Hun er pilot. ,She's a pilot. ,Ndi woyendetsa ndege. ,He is a pilot. ,ସେ ଜଣେ ପାଇଲଟ୍ | ,He is a pilot 
She is a plumber.,Mpanamboatra plumber izy. ,He is a plumber. ,Dia adalah tukang paip. ,He is a plumber. ,അവൾ ഒരു പ്ലംബർ ആണ്. ,She is a plumber. ,Hija plamer. ,She is a plumber. ,He paipa ia. ,He is a pipe. ,ती एक प्लंबर आहे. ,She is a plumber. ,Тэр бол сантехникч. ,He is a plumber. ,သူမသည်ရေပိုက်သမား။ ,She is a plumber. ,उनी प्लम्बर हुन्। ,She is a plumber. ,Hun er rørlegger. ,She's a plumber. ,Ndiwopanga madzi. ,It is a water maker. ,ସେ ଜଣେ ପ୍ଲମ୍ବର | ,He is a plumber 
She is a politician.,Politika izy. ,He is political. ,Dia seorang ahli politik. ,He is a politician. ,അവർ ഒരു രാഷ്ട്രീയക്കാരിയാണ്. ,She is a politician. ,Hija politika. ,It is political. ,He kaitorangapu ia. ,He is a politician. ,ती एक राजकारणी आहे. ,She is a politician. ,Тэр бол улс төрч. ,He is a politician. ,သူမသည်နိုင်ငံရေးသမားတစ် ဦး ဖြစ်သည်။ ,She is a politician. ,उनी एक राजनीतिज्ञ हुन्। ,He is a politician. ,Hun er politiker. ,She's a politician. ,Ndi andale. ,It's politics. ,ସେ ଜଣେ ରାଜନେତା। ,He is a politician. 
She is a receptionist.,Mpandray olona izy. ,He is a receptionist. ,Dia adalah penyambut tetamu. ,He is the receptionist. ,അവൾ ഒരു റിസപ്ഷനിസ്റ്റാണ്. ,She is a receptionist. ,Hija receptionist. ,She is a receptionist. ,He kai manaaki ia. ,He was a hospitable man. ,ती रिसेप्शनिस्ट आहे. ,She is a receptionist. ,Тэр ресепшн юм. ,That is the reception. ,သူမသည် ist ည့်ကြိုတစ် ဦး ဖြစ်သည်။ ,She is a receptionist. ,उनी रिसेप्शनिस्ट छिन्। ,She is a receptionist. ,Hun er resepsjonist. ,She's a receptionist. ,Ndi wolandila alendo. ,It is a hospitable host. ,ସେ ଜଣେ ରିସେପ୍ସନିଷ୍ଟ | ,She is a receptionist 
She is a registered nurse.,Mpitsabo mpanampy voasoratra anarana izy. ,She is a registered nurse. ,Dia adalah jururawat berdaftar. ,She is a registered nurse. ,അവൾ രജിസ്റ്റർ ചെയ്ത നഴ്‌സാണ്. ,She is a registered nurse. ,Hija infermiera rreġistrata. ,She is a registered nurse. ,He nēhi rehita ia. ,She is a registered nurse. ,ती नोंदणीकृत परिचारिका आहे. ,She is a registered nurse. ,Тэр бол бүртгэлтэй сувилагч юм. ,She is a registered nurse. ,သူမသည်မှတ်ပုံတင်ထားသောသူနာပြုတစ်ယောက်ဖြစ်သည်။ ,She is a registered nurse. ,उनी एक पंजीकृत नर्स हुन्। ,She is a registered nurse. ,Hun er sykepleier. ,She is a nurse. ,Ndi namwino wovomerezeka. ,She is a registered nurse. ,ସେ ଜଣେ ପଞ୍ଜୀକୃତ ନର୍ସ | ,She is a registered nurse 
She is a salesman.,Mpivarotra izy. ,He is a salesman. ,Dia adalah jurujual. ,He is a salesman. ,അവൾ ഒരു സെയിൽസ്മാനാണ്. ,She is a salesman. ,Hija bejjiegħa. ,She is a salesman. ,He kaihoko ia. ,He is a salesman. ,ती एक सेल्समन आहे. ,She is a salesman. ,Тэр худалдагч. ,He is a salesman. ,သူမသည်အရောင်းစာရေးဖြစ်သည်။ ,She is a sales clerk. ,उनी एक विक्रेता हुन्। ,He is a salesman. ,Hun er selger. ,She's a saleswoman. ,Ndiwotsatsa. ,It's an advertiser. ,ସେ ଜଣେ ବିକ୍ରେତା | ,He is a salesman 
She is a salesperson.,Mpivarotra izy. ,He is a salesman. ,Dia adalah jurujual. ,He is a salesman. ,അവൾ ഒരു വിൽപ്പനക്കാരിയാണ്. ,She is a saleswoman. ,Hija bejjiegħ. ,She is a salesman. ,He kaihoko ia. ,He is a salesman. ,ती एक विक्रेता आहे. ,She is a seller. ,Тэр бол худалдагч. ,He is a salesman. ,သူမသည်အရောင်းဝန်ထမ်းဖြစ်သည်။ ,She is a salesperson. ,उनी एक विक्रेता हुन्। ,He is a salesman. ,Hun er selger. ,She's a saleswoman. ,Iye ndi wogulitsa. ,He is a salesman. ,ସେ ଜଣେ ବିକ୍ରେତା | ,He is a salesman 
She is a scientist.,Izy dia mpahay siansa. ,He is a scientist. ,Dia adalah seorang saintis. ,He is a scientist. ,അവൾ ഒരു ശാസ്ത്രജ്ഞയാണ്. ,She is a scientist. ,Hija xjenzata. ,She is a scientist. ,He kaiputaiao ia. ,He is a scientist. ,ती एक वैज्ञानिक आहे. ,She is a scientist. ,Тэр бол эрдэмтэн. ,He is a scientist. ,သူမသည်သိပ္ပံပညာရှင်ဖြစ်သည်။ ,She is a scientist. ,उनी एक वैज्ञानिक हुन्। ,He is a scientist. ,Hun er forsker. ,She is a researcher. ,Iye ndi wasayansi. ,He's a scientist. ,ସେ ଜଣେ ବ scientist ଜ୍ଞାନିକ | ,He is a scientist 
She is a sea captain.,Kapiteny an-dranomasina izy. ,He was a naval captain. ,Dia adalah kapten laut. ,He is the captain of the sea. ,അവൾ ഒരു കടൽ ക്യാപ്റ്റനാണ്. ,She is a sea captain. ,Hija kaptan tal-baħar. ,She is a master of the sea. ,He kapene moana ia. ,He is a sea captain. ,ती समुद्री कर्णधार आहे. ,She is a sea captain. ,Тэр бол далайн ахмад юм. ,He is a captain of the sea. ,သူမသည်ပင်လယ်ကပ္ပတိန်တစ် ဦး ဖြစ်သည်။ ,She is a naval captain. ,उनी समुद्री कप्तान हुन्। ,He is a sea captain. ,Hun er sjøkaptein. ,She's a sea captain. ,Iye ndi woyendetsa nyanja. ,He is a sailor. ,ସେ ଜଣେ ସମୁଦ୍ର କ୍ୟାପଟେନ୍ | ,He is a sea captain 
She is a secretary.,Sekretera izy. ,He is a secretary. ,Dia adalah setiausaha. ,He is the secretary. ,അവർ ഒരു സെക്രട്ടറിയാണ്. ,They are a secretary. ,Hija segretarja. ,She is a secretary. ,He hēkeretari ia. ,He is a secretary. ,ती एक सचिव आहे. ,She is a secretary. ,Тэр нарийн бичгийн дарга. ,He is the secretary. ,သူမသည်အတွင်းရေးမှူးဖြစ်ပါတယ်။ ,She is the secretary. ,उनी एक सचिव हुन्। ,He is a secretary. ,Hun er en sekretær. ,She's a secretary. ,Ndi mlembi. ,It's a secretary. ,ସେ ଜଣେ ସଚିବ। ,He is a secretary. 
She is a singer.,Mpihira izy. ,He is a singer. ,Dia adalah penyanyi. ,She is a singer. ,അവൾ ഒരു ഗായികയാണ്. ,She is a singer. ,Hija kantanta. ,She is a singer. ,He kaiwaiata ia. ,He is a singer. ,ती गायिका आहे. ,She is a singer. ,Тэр бол дуучин. ,She is a singer. ,သူမကအဆိုတော်တစ်ယောက်ပါ။ ,She is a singer. ,उनी एक गायक हुन्। ,He is a singer. ,Hun er en sanger. ,She's a singer. ,Ndi woimba. ,He is a singer. ,ସେ ଜଣେ ଗାୟକ | ,She is a singer 
She is a solicitor.,Mpisolovava izy. ,He is a lawyer. ,Dia adalah peguam cara. ,He is a solicitor. ,അവൾ ഒരു അഭിഭാഷകയാണ്. ,She is a lawyer. ,Hija avukat. ,She is a lawyer. ,He roia ia. ,He is a lawyer. ,ती एक वकील आहे. ,She is a lawyer. ,Тэр бол хуульч. ,He is a lawyer. ,သူမသည်ရှေ့ရပျ ,She is in front ,उनी एक वकिल हुनुहुन्छ। ,He is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ndi loya. ,I am a lawyer. ,ସେ ଜଣେ ଓକିଲ। ,He is a lawyer. 
She is a speech pathologist.,Mpandinika momba ny resaka kabary izy. ,He is an orator of speech. ,Dia adalah ahli patologi pertuturan. ,He is a speech pathologist. ,അവൾ ഒരു സ്പീച്ച് പാത്തോളജിസ്റ്റാണ്. ,She is a speech pathologist. ,Hija patoloġista tat-taħdit. ,She is a speech pathologist. ,He kairangahau korero ia. ,He is a speech researcher. ,ती एक भाषण पॅथॉलॉजिस्ट आहे. ,She is a speech pathologist. ,Тэр бол ярианы эмгэг судлаач юм. ,He is a speech pathologist. ,သူမသည်မိန့်ခွန်းရောဂါဗေဒပညာရှင်ဖြစ်သည်။ ,She is a speech pathologist. ,उनी एक भाषण रोगविज्ञानी हुन्। ,He is a speech pathologist. ,Hun er en talepatolog. ,She is a speech pathologist. ,Ndiwoyankhula wolankhula. ,It's a talking speaker. ,ସେ ଜଣେ ବକ୍ତବ୍ୟ ପାଥୋଲୋଜିଷ୍ଟ | ,He is a speech pathologist 
